galaxy,source,preferred_profile,radius_type,rin_arcmin,rout_arcmin,rm_arcmin,R_inner_pc,R_outer_pc,R_pc,Sigma_source_arcmin2,Sigma_source_err_arcmin2,Sigma_background_arcmin2,Sigma_background_err_arcmin2,Sigma,Sigma_err,Sigma_pc2,Sigma_err_pc2,Sigma_significance,outward_rise_significance,light_raw,light_raw_err,light_frac,light_frac_err_approx,ellipticity,q_axis_ratio,area_arcmin2,area_pc2,bin_review_required,review_flags,profile_review_required,profile_review_status,Sigma_units,R_units,area_model,pc_per_arcmin_assumed,note
Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,15.0,16.5,15.75,100.35643198968,110.39207518864801,105.37425358916401,0.0202101515037327,0.0116683364110432,0.0,0.0,0.0202101515037327,0.0116683364110432,0.0004515040629265073,0.00026067599227082885,1.7320508075688763,0.33838412609620533,2.9999999999999942,1.7320508075688748,0.0201342281879195,0.011624502064220681,0.0,1.0,148.44025288211773,6644.458480738663,True,LOW_SIGNAL_TO_NOISE;OUTWARD_RISE,True,REVIEW_REQUIRED,stars_per_arcmin2,pc,elliptical_annulus_pi_q_delta_a2,6.690428799312,Production projected-density profile for Segue1. A fitted background of 0 +/- 0 in the source Sigma units was subtracted before normalization. Sigma_err combines the source statistical uncertainty and fitted-background uncertainty in quadrature.
Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,16.5,18.000000000000004,17.250000000000004,110.39207518864801,120.42771838761603,115.40989678813203,0.0184527470251472,0.0106536984622568,0.0,0.0,0.0184527470251472,0.0106536984622568,0.0004122428400633316,0.00023800851468206035,1.7320508075688774,-0.11122559966401294,2.9999999999999925,1.7320508075688728,0.02013422818791949,0.011624502064220667,0.0,1.0,162.57741982327215,7277.264050332837,True,LOW_SIGNAL_TO_NOISE,True,REVIEW_REQUIRED,stars_per_arcmin2,pc,elliptical_annulus_pi_q_delta_a2,6.690428799312,Production projected-density profile for Segue1. A fitted background of 0 +/- 0 in the source Sigma units was subtracted before normalization. Sigma_err combines the source statistical uncertainty and fitted-background uncertainty in quadrature.
Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,18.000000000000004,19.5,18.75,120.42771838761603,130.463361586584,125.4455399871,0.0169765272631355,0.0098014025852763,0.0,0.0,0.0169765272631355,0.0098014025852763,0.00037926341285826685,0.0002189678335074965,1.7320508075688776,-0.10197359225895904,2.999999999999994,1.7320508075688734,0.020134228187919496,0.01162450206422067,0.0,1.0,176.71458676442552,7910.069619926963,True,LOW_SIGNAL_TO_NOISE,True,REVIEW_REQUIRED,stars_per_arcmin2,pc,elliptical_annulus_pi_q_delta_a2,6.690428799312,Production projected-density profile for Segue1. A fitted background of 0 +/- 0 in the source Sigma units was subtracted before normalization. Sigma_err combines the source statistical uncertainty and fitted-background uncertainty in quadrature.
Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,19.5,21.000000000000004,20.25,130.463361586584,140.49900478555205,135.481183186068,0.0157190067251254,0.0090753727641446,0.0,0.0,0.0157190067251254,0.0090753727641446,0.00035116982672061604,0.00020274799398841995,1.732050807568894,-0.09414153837003893,2.9999999999999964,1.7320508075688583,0.020134228187919517,0.01162450206422057,0.0,1.0,190.85175370558048,8542.87518952116,True,LOW_SIGNAL_TO_NOISE,True,REVIEW_REQUIRED,stars_per_arcmin2,pc,elliptical_annulus_pi_q_delta_a2,6.690428799312,Production projected-density profile for Segue1. A fitted background of 0 +/- 0 in the source Sigma units was subtracted before normalization. Sigma_err combines the source statistical uncertainty and fitted-background uncertainty in quadrature.
Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,21.000000000000004,22.5,21.750000000000004,140.49900478555205,150.53464798452,145.51682638503604,0.0146349372958065,0.0084494849873071,0.0,0.0,0.0146349372958065,0.0084494849873071,0.0003269512179812653,0.00018876537371335784,1.7320508075688927,-0.08742603789438039,2.9999999999999987,1.7320508075688612,0.02013422818791953,0.011624502064220589,0.0,1.0,204.98892064673348,9175.680759115272,True,LOW_SIGNAL_TO_NOISE,True,REVIEW_REQUIRED,stars_per_arcmin2,pc,elliptical_annulus_pi_q_delta_a2,6.690428799312,Production projected-density profile for Segue1. A fitted background of 0 +/- 0 in the source Sigma units was subtracted before normalization. Sigma_err combines the source statistical uncertainty and fitted-background uncertainty in quadrature.
Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,22.5,24.0,23.25,150.53464798452,160.570291183488,155.552469584004,0.0136907477928512,0.0079043569236099,0.0,0.0,0.0136907477928512,0.0079043569236099,0.00030585759101473106,0.00017658696250604511,1.7320508075688805,-0.08160433493741512,2.999999999999997,1.7320508075688723,0.02013422818791952,0.011624502064220664,0.0,1.0,219.12608758788807,9808.486328709454,True,LOW_SIGNAL_TO_NOISE,True,REVIEW_REQUIRED,stars_per_arcmin2,pc,elliptical_annulus_pi_q_delta_a2,6.690428799312,Production projected-density profile for Segue1. A fitted background of 0 +/- 0 in the source Sigma units was subtracted before normalization. Sigma_err combines the source statistical uncertainty and fitted-background uncertainty in quadrature.
Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,24.0,25.500000000000004,24.750000000000004,160.570291183488,170.60593438245604,165.58811278297205,0.0128610055023753,0.0074253049888456,0.0,0.0,0.0128610055023753,0.0074253049888456,0.00028732076731686703,0.00016588472235416218,1.732050807568886,-0.07650920556760747,2.9999999999999902,1.7320508075688628,0.020134228187919476,0.0116245020642206,0.0,1.0,233.26325452904285,10441.291898303643,True,LOW_SIGNAL_TO_NOISE,True,REVIEW_REQUIRED,stars_per_arcmin2,pc,elliptical_annulus_pi_q_delta_a2,6.690428799312,Production projected-density profile for Segue1. A fitted background of 0 +/- 0 in the source Sigma units was subtracted before normalization. Sigma_err combines the source statistical uncertainty and fitted-background uncertainty in quadrature.
Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,25.500000000000004,27.0,26.25,170.60593438245604,180.641577581424,175.62375598194,0.0121260909022396,0.0070010018466259,0.0,0.0,0.0121260909022396,0.0070010018466259,0.0002709024377559039,0.00015640559536249686,1.7320508075688785,-0.07201267534638663,2.99999999999998,1.7320508075688645,0.020134228187919406,0.011624502064220612,0.0,1.0,247.40042147019548,11074.097467897738,True,LOW_SIGNAL_TO_NOISE,True,REVIEW_REQUIRED,stars_per_arcmin2,pc,elliptical_annulus_pi_q_delta_a2,6.690428799312,Production projected-density profile for Segue1. A fitted background of 0 +/- 0 in the source Sigma units was subtracted before normalization. Sigma_err combines the source statistical uncertainty and fitted-background uncertainty in quadrature.
Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,27.0,28.500000000000004,27.75,180.641577581424,190.67722078039205,185.65939918090803,0.0114706265291455,0.0066225693143758,0.0,0.0,0.0114706265291455,0.0066225693143758,0.00025625906274206973,0.0001479512388564148,1.7320508075688816,-0.06801514639242354,2.9999999999999796,1.732050807568861,0.020134228187919403,0.011624502064220587,0.0,1.0,261.537588411351,11706.90303749196,True,LOW_SIGNAL_TO_NOISE,True,REVIEW_REQUIRED,stars_per_arcmin2,pc,elliptical_annulus_pi_q_delta_a2,6.690428799312,Production projected-density profile for Segue1. A fitted background of 0 +/- 0 in the source Sigma units was subtracted before normalization. Sigma_err combines the source statistical uncertainty and fitted-background uncertainty in quadrature.
Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,28.500000000000004,30.0,29.250000000000004,190.67722078039205,200.71286397936,195.69504237987604,0.0108823892712407,0.0062829503751771,0.0,0.0,0.0108823892712407,0.0062829503751771,0.00024311757234504272,0.00014036399583813844,1.732050807568881,-0.06443794794177346,2.99999999999999,1.7320508075688679,0.020134228187919472,0.011624502064220634,0.0,1.0,275.6747553525036,12339.708607086053,True,LOW_SIGNAL_TO_NOISE,True,REVIEW_REQUIRED,stars_per_arcmin2,pc,elliptical_annulus_pi_q_delta_a2,6.690428799312,Production projected-density profile for Segue1. A fitted background of 0 +/- 0 in the source Sigma units was subtracted before normalization. Sigma_err combines the source statistical uncertainty and fitted-background uncertainty in quadrature.
