bin_id,R_inner_pc,R_outer_pc,R_pc,Sigma,Sigma_err,light_raw,light_frac,q_axis_ratio,ellipticity,area_pc2,source_surface_brightness_csv,source_target_bins_csv,rebin_method,galaxy,source,preferred_profile,radius_type,pc_per_arcmin_assumed,note,N_vlos
0,0.0,16.229995233179263,8.114997616589632,0.0362457688090578,0.007557765245268799,23.03128238381108,0.3531561781725705,1.0,0.0,827.5355453990779,Data/Galaxy_Profiles/Segue1/Segue1_NO09_digitized_profile.csv,Data/Galaxy_Profiles/Segue1/segue1_simon_kinematic_bins_16.csv,loglog,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,6.690428799311597,Digitized NO09 Fig. 7 stellar number-count profile. Counts are used as tracer surface density in place of calibrated surface brightness.,16
1,16.229995233179263,25.70728158707909,20.968638410129177,0.009571517298840235,0.0026905603550587223,12.166717530198923,0.1865615380101673,1.0,0.0,1248.6309680588033,Data/Galaxy_Profiles/Segue1/Segue1_NO09_digitized_profile.csv,Data/Galaxy_Profiles/Segue1/segue1_simon_kinematic_bins_16.csv,loglog,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,6.690428799311597,Digitized NO09 Fig. 7 stellar number-count profile. Counts are used as tracer surface density in place of calibrated surface brightness.,16
2,25.70728158707909,47.93259061438236,36.81993610073073,0.0026872057867506315,0.00107583682930524,15.388464092941588,0.2359630296065958,1.0,0.0,5141.747044148026,Data/Galaxy_Profiles/Segue1/Segue1_NO09_digitized_profile.csv,Data/Galaxy_Profiles/Segue1/segue1_simon_kinematic_bins_16.csv,loglog,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,6.690428799311597,Digitized NO09 Fig. 7 stellar number-count profile. Counts are used as tracer surface density in place of calibrated surface brightness.,16
3,47.93259061438236,93.66964221948996,70.80111641693617,0.0006788032105179391,0.0003899324249819368,14.629108613037513,0.2243192542106664,1.0,0.0,20346.4262708504,Data/Galaxy_Profiles/Segue1/Segue1_NO09_digitized_profile.csv,Data/Galaxy_Profiles/Segue1/segue1_simon_kinematic_bins_16.csv,loglog,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,6.690428799311597,Digitized NO09 Fig. 7 stellar number-count profile. Counts are used as tracer surface density in place of calibrated surface brightness.,16
