ra,dec,vlos,vlos_err,src,r_separation_pc
151.59691666666666,15.988999999999999,222.0,8.7,SIMON,75.49937098441919
151.62116666666668,16.106611111111114,200.9,14.2,SIMON,57.146853292314354
151.629,15.928777777777777,204.5,11.8,SIMON,81.34584785526468
151.63266666666664,16.107305555555556,210.4,5.2,SIMON,52.83680669838463
151.63895833333333,16.05761111111111,210.5,11.9,SIMON,50.376024943120335
151.650375,16.108,194.6,5.6,SIMON,46.215459815271544
151.65108333333333,16.028333333333332,200.3,3.8,SIMON,49.64972141349318
151.66145833333331,16.103805555555557,212.9,7.4,SIMON,41.67571972002727
151.663875,16.002388888888888,205.4,2.5,SIMON,51.035818746695824
151.66858333333332,16.043916666666668,204.6,6.4,SIMON,40.94513722719034
151.6726666666667,16.193194444444444,210.4,5.1,SIMON,57.62523248007826
151.68112499999998,16.10125,209.4,6.4,SIMON,34.04921569039454
151.68562500000002,16.024833333333333,209.3,7.5,SIMON,38.89474186782264
151.69975,16.13663888888889,203.8,6.5,SIMON,34.008502381568576
151.70437499999997,16.06352777777778,217.0,13.6,SIMON,25.292237847848014
151.70679166666667,16.052305555555556,199.5,9.4,SIMON,26.122325326310186
151.7095833333333,16.11913888888889,203.2,6.5,SIMON,26.73618816462716
151.717625,16.063666666666666,204.2,5.3,SIMON,20.4392284753011
151.71804166666666,16.043277777777778,211.5,8.8,SIMON,24.46932858925238
151.72104166666665,16.162888888888887,206.7,7.0,SIMON,37.029584522033204
151.72691666666665,16.024055555555556,211.9,7.4,SIMON,27.9292000663309
151.72733333333332,16.107305555555556,209.6,11.8,SIMON,18.40440193482413
151.73104166666667,16.071166666666667,213.5,3.8,SIMON,14.55954338305975
151.73925,16.05,217.3,4.2,SIMON,16.72406911516903
151.74008333333333,16.041694444444445,213.3,5.3,SIMON,19.222895682879724
151.7465,16.115222222222222,212.8,6.8,SIMON,15.539755950197865
151.749,16.038472222222225,204.1,4.9,SIMON,18.793190297500114
151.753,16.102722222222223,203.9,10.0,SIMON,9.953711518543532
151.75375,16.06688888888889,217.8,13.1,SIMON,7.935706933033898
151.754375,16.081527777777776,217.8,5.2,SIMON,4.9046670926689035
151.75558333333333,16.033333333333335,209.2,2.7,SIMON,20.01155305001851
151.75583333333333,16.077944444444444,222.2,6.3,SIMON,4.626867378598586
151.756125,16.051222222222222,200.9,6.1,SIMON,13.036915993872919
151.7587916666667,15.946361111111111,219.2,7.5,SIMON,54.52052502055706
151.76025,15.848694444444446,208.4,2.4,SIMON,93.66964121948996
151.76254166666666,16.07361111111111,215.6,3.8,SIMON,3.776141989327822
151.76358333333332,16.04288888888889,207.7,3.3,SIMON,15.735921351189495
151.76383333333334,16.027944444444444,210.1,21.1,SIMON,21.713206238873155
151.77333333333334,16.072777777777777,203.4,2.5,SIMON,4.399098422292995
151.77616666666668,15.970083333333333,198.4,8.1,SIMON,45.040402993722836
151.77812500000002,16.079,215.1,6.8,SIMON,4.419926537674293
151.78545833333334,16.067083333333333,208.7,3.5,SIMON,9.264016991355819
151.78716666666668,16.079333333333334,206.0,23.1,SIMON,7.817065255604613
151.79141666666666,16.08422222222222,219.5,5.0,SIMON,9.430202049417591
151.79200000000003,16.10663888888889,208.0,2.2,SIMON,13.807033844099125
151.79279166666666,16.065527777777778,198.9,9.6,SIMON,11.906245085737694
151.79566666666668,15.96061111111111,216.9,4.5,SIMON,49.93854033486469
151.80508333333336,16.110472222222224,209.3,4.8,SIMON,18.60047568517486
151.81074999999998,16.031805555555554,207.9,2.3,SIMON,26.244673364579473
151.811625,16.10752777777778,205.7,5.4,SIMON,20.01592044418629
151.81225,16.080222222222222,207.7,3.7,SIMON,17.43524208830166
151.81287500000002,16.118944444444445,210.7,10.9,SIMON,23.07751678745827
151.8155,16.05,205.1,4.3,SIMON,22.653857775955466
151.81583333333333,16.09561111111111,205.1,7.1,SIMON,19.587656256735325
151.81775000000002,16.061194444444446,213.0,14.6,SIMON,21.244050518319405
151.84845833333335,16.24088888888889,206.7,6.7,SIMON,71.10686838037664
151.850125,15.938638888888889,217.2,10.0,SIMON,65.8426775493215
151.85033333333334,16.07497222222222,197.6,7.6,SIMON,32.232645431590534
151.86483333333334,16.02622222222222,219.2,8.8,SIMON,43.839687617911416
151.86829166666666,16.12811111111111,217.4,14.3,SIMON,43.213392196577665
151.87941666666666,16.07208333333333,212.9,9.8,SIMON,43.509271741282156
151.91508333333334,15.988249999999999,204.5,7.0,SIMON,68.36249840624625
151.928,16.018583333333332,206.8,2.2,SIMON,67.07750604741706
151.93145833333332,16.16311111111111,220.4,7.4,SIMON,71.28425697104998
