bin_id,galaxy,source,preferred_profile,radius_type,digitized_center_deg,digitized_center_offset_deg,count_digitized,count,count_err,rin_deg,rout_deg,rmid_deg,rin_arcmin,rout_arcmin,rm_arcmin,rin_pc,rout_pc,rm_pc,Sigma,Sigma_err,Sigma_pc2,Sigma_err_pc2,background,background_err,ellipticity,q_axis_ratio,area_arcmin2,area_pc2,Sigma_units,R_units,area_model,pc_per_arcmin_assumed,annulus_width_deg,note
10,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.2646261719898845,0.002126171989884462,3.081385117712285,3,1.7320508075688772,0.25,0.275,0.2625,15.0,16.5,15.75,100.35643198967395,110.39207518864136,105.37425358915766,0.020210151503732742,0.011668336411043216,0.00045150406292656265,0.0002606759922708606,0.0,0.0,0.0,1.0,148.44025288211773,6644.4584807378615,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
11,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.28966349365332233,0.0021634936533223015,2.7779850456989377,3,1.7320508075688772,0.275,0.30000000000000004,0.28750000000000003,16.5,18.000000000000004,17.250000000000004,110.39207518864136,120.42771838760878,115.40989678812508,0.018452747025147244,0.010653698462256828,0.0004122428400633823,0.00023800851468208965,0.0,0.0,0.0,1.0,162.57741982327215,7277.26405033196,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
12,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.31538807296918114,0.0028880729691811435,2.7779850456989377,3,1.7320508075688772,0.30000000000000004,0.325,0.3125,18.000000000000004,19.5,18.75,120.42771838760878,130.46336158657616,125.44553998709245,0.016976527263135536,0.009801402585276321,0.0003792634128583133,0.00021896783350752334,0.0,0.0,0.0,1.0,176.71458676442552,7910.06961992601,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
13,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.3379623803396728,0.00046238033967277437,3.22135498219534,3,1.7320508075688772,0.325,0.35000000000000003,0.3375,19.5,21.000000000000004,20.25,130.46336158657616,140.49900478554358,135.48118318605984,0.015719006725125422,0.009075372764144699,0.00035116982672065886,0.0002027479939884466,0.0,0.0,0.0,1.0,190.85175370558048,8542.875189520131,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
14,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.3640834382302378,0.0015834382302377659,2.8614860951082934,3,1.7320508075688772,0.35000000000000003,0.375,0.36250000000000004,21.000000000000004,22.5,21.750000000000004,140.49900478554358,150.53464798451094,145.51682638502726,0.014634937295806505,0.008449484987307179,0.0003269512179813048,0.00018876537371338232,0.0,0.0,0.0,1.0,204.98892064673348,9175.680759114166,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
15,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.38807400232069394,0.0005740023206939338,2.7779850456989377,3,1.7320508075688772,0.375,0.4,0.3875,22.5,24.0,23.25,150.53464798451094,160.57029118347833,155.55246958399462,0.013690747792851213,0.007904356923609922,0.00030585759101476825,0.0001765869625060669,0.0,0.0,0.0,1.0,219.12608758788807,9808.486328708272,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
16,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.413645377579535,0.0011453775795349785,2.677026887172629,3,1.7320508075688772,0.4,0.42500000000000004,0.41250000000000003,24.0,25.500000000000004,24.750000000000004,160.57029118347833,170.60593438244575,165.58811278296204,0.012861005502375341,0.007425304988845661,0.0002873207673169026,0.00016588472235418353,0.0,0.0,0.0,1.0,233.26325452904285,10441.291898302386,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
17,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.4385633469336485,0.0010633469336485124,3.1273525958153403,3,1.7320508075688772,0.42500000000000004,0.45,0.4375,25.500000000000004,27.0,26.25,170.60593438244575,180.64157758141312,175.62375598192943,0.012126090902239681,0.007001001846625951,0.0002709024377559384,0.00015640559536251686,0.0,0.0,0.0,1.0,247.40042147019548,11074.097467896403,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
18,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.4649823730634131,0.0024823730634130903,2.9041731642003725,3,1.7320508075688772,0.45,0.47500000000000003,0.4625,27.0,28.500000000000004,27.75,180.64157758141312,190.67722078038054,185.65939918089683,0.011470626529145577,0.006622569314375862,0.00025625906274210237,0.00014795123885643401,0.0,0.0,0.0,1.0,261.537588411351,11706.90303749055,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
19,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.49299287952669224,0.005492879526692196,3.269410502342777,3,1.7320508075688772,0.47500000000000003,0.5,0.48750000000000004,28.500000000000004,30.0,29.250000000000004,190.67722078038054,200.7128639793479,195.69504237986425,0.010882389271240736,0.006282950375177134,0.0002431175723450728,0.00014036399583815612,0.0,0.0,0.0,1.0,275.6747553525036,12339.708607084567,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
