ra_deg,dec_deg,vlos,vlos_err,source,id,x_pc,y_pc,r_pc,v_sys_kms,vlos_rel_kms,kin_bin,n_epochs,Bpr,EMpr,Mm,vlos_span,repeat_chi2,repeat_dof,repeat_chi2_red,repeat_p,repeat_variable,match_sep_arcsec
151.76254,16.07361,215.6,3.8,Simon+2011_Table3,J100703.01+160425.0,-1.604581135076659,-3.3278192847788213,3.694463670303137,208.5667270167265,7.033272983273491,0,1,0.991,1.0,1.0,0.0,0.0,0,,1.0,False,0.0
151.75583,16.07794,222.19999999999996,6.3,Simon+2011_Table3,J100701.40+160440.6,-4.192739648631664,-1.5896458827164284,4.483975891287247,208.5667270167265,13.633272983273457,0,1,0.951,1.0,1.0,0.0,2.0352571603585689e-29,0,,1.0,False,0.0
151.77812,16.079,210.99000329200044,4.772577948481655,Simon+2011_Table3,J100706.75+160444.4,4.404883789101633,-1.1641346110805029,4.556117929576221,208.5667270167265,2.4232762752739347,0,2,0.985,0.997,1.0,8.099999999999994,0.7199604959947318,1,0.7199604959947318,0.39615686748641055,False,0.0
151.75437,16.08153,217.8,5.2,Simon+2011_Table3,J100701.05+160453.5,-4.755885912385237,-0.1485275193446877,4.758204623135395,208.5667270167265,9.233272983273508,0,1,0.991,1.0,1.0,0.0,0.0,0,,1.0,False,0.0
151.75375,16.06689,217.79999999999998,13.1,Simon+2011_Table3,J100700.90+160400.8,-4.995030216174899,-6.025400176660201,7.826606809428785,208.5667270167265,9.23327298327348,0,1,0.985,1.0,1.0,0.0,4.707147409511778e-30,0,,1.0,False,0.0
151.78717,16.07933,213.0727811147277,7.47495624109926,Simon+2011_Table3,J100708.92+160445.6,7.895619191146459,-1.0316641208550914,7.962734032344668,208.5667270167265,4.5060540980011865,0,2,0.982,0.997,1.0,7.900000000000006,0.10471125130029209,1,0.10471125130029209,0.7462475668873652,False,0.0
151.74625,16.07694,224.20000000000002,6.2,Simon+2011_Table3,J100659.10+160437.0,-7.887904858745568,-1.9910716106753543,8.135318630481494,208.5667270167265,15.633272983273514,0,1,0.95,0.996,1.0,0.0,2.101440080505505e-29,0,,1.0,False,0.0
151.76312,16.05972,198.8437177712743,3.146882688413029,Simon+2011_Table3,J100703.15+160335.0,-1.3808654960495188,-8.90362264612482,9.010065801245116,208.5667270167265,-9.723009245452204,0,3,0.963,0.994,1.0,15.400000000000006,5.485163576196559,2,2.7425817880982795,0.06440385495598998,False,0.0
151.78546,16.06708,208.7,3.5000000000000004,Simon+2011_Table3,J100708.51+160401.5,7.236043772641838,-5.949129288347788,9.367628769815026,208.5667270167265,0.13327298327348558,0,1,0.993,0.999,1.0,0.0,0.0,0,,1.0,False,0.0
151.79142,16.08422,219.49999999999997,5.0,Simon+2011_Table3,J100709.94+160503.2,9.534914821933889,0.9313076888631256,9.580288861661224,208.5667270167265,10.933272983273469,0,1,0.961,0.997,1.0,0.0,3.231174267785265e-29,0,,1.0,False,0.0
151.753,16.10272,203.9,10.0,Simon+2011_Table3,J100700.72+160609.8,-5.284317680437855,8.357683656100068,9.888118599775709,208.5667270167265,-4.666727016726497,0,1,0.988,0.994,1.0,0.0,0.0,0,,1.0,False,0.0
151.79279,16.06553,198.9,9.6,Simon+2011_Table3,J100710.27+160355.9,10.06334658997669,-6.571339166684953,12.018878609654196,208.5667270167265,-9.666727016726497,0,1,0.94,0.989,1.0,0.0,0.0,0,,1.0,False,0.0
151.75612,16.05122,200.9,6.1,Simon+2011_Table3,J100701.47+160304.4,-4.080881829118093,-12.3157413337725,12.974246841478648,208.5667270167265,-7.666727016726497,0,1,0.987,0.994,1.0,0.0,0.0,0,,1.0,False,0.0
151.792,16.10664,206.53245672436753,1.2443266726128497,Simon+2011_Table3,J100710.08+160623.9,9.758630460961026,9.93127250969722,13.923399086985336,208.5667270167265,-2.0342702923589684,0,4,0.984,0.996,1.0,2.5,0.7993880060745434,3,0.26646266869151447,0.849613408674007,False,0.0
151.73104,16.07117,213.5,3.8,Simon+2011_Table3,J100655.45+160416.2,-13.754654633885243,-4.307298060998499,14.413304294426808,208.5667270167265,4.933272983273497,0,1,0.99,0.998,1.0,0.0,0.0,0,,1.0,False,0.0
151.7465,16.11522,206.2219738346247,4.36831192993771,Simon+2011_Table3,J100659.16+160654.8,-7.791475703994521,13.375505255583452,15.479380946539091,208.5667270167265,-2.3447531821018117,0,2,0.969,0.992,1.0,11.200000000000017,1.5932935348660027,1,1.5932935348660027,0.20685621000948373,False,0.0
151.76358,16.04289,203.7966489567507,1.5966479890472387,Simon+2011_Table3,J100703.26+160234.4,-1.2034358513099477,-15.659617647669322,15.705791375139762,208.5667270167265,-4.770078059975816,1,4,0.984,0.998,1.0,8.099999999999994,4.742245645421586,3,1.580748548473862,0.19167383948238545,False,0.0
151.73925,16.05,217.3,4.2,Simon+2011_Table3,J100657.42+160300.0,-10.587921191814145,-12.805480721882978,16.615788024724665,208.5667270167265,8.733272983273508,1,1,0.988,0.996,1.0,0.0,0.0,0,,1.0,False,0.0
151.81225,16.08022,207.13674750974448,3.10348474837068,Simon+2011_Table3,J100714.94+160448.8,17.56939199592342,-0.6743952229713024,17.5823304491522,208.5667270167265,-1.429979506982022,1,2,0.994,0.998,1.0,1.8999999999999773,0.07817236899090328,1,0.07817236899090328,0.7797896089482292,False,0.0
151.72733,16.10731,209.6,11.8,Simon+2011_Table3,J100654.56+160626.3,-15.18566329041787,10.20022774742946,18.29341454374701,208.5667270167265,1.0332729832734913,1,1,0.977,0.996,1.0,0.0,0.0,0,,1.0,False,0.0
151.749,16.03847,204.1,4.9,Simon+2011_Table3,J100659.76+160218.5,-6.827184156474237,-17.433919365246574,18.723033620125037,208.5667270167265,-4.466727016726509,1,1,0.992,0.995,1.0,0.0,0.0,0,,1.0,False,0.0
151.80508,16.11047,214.70032210303236,3.9243651168410447,Simon+2011_Table3,J100713.22+160637.7,14.803803837619034,11.468733047779512,18.72657058256888,208.5667270167265,6.13359508630586,1,3,0.981,0.996,1.0,21.0,5.31285061183648,2,2.65642530591824,0.07019871268645902,False,0.0
151.74008,16.04169,213.3,5.3,Simon+2011_Table3,J100657.62+160230.1,-10.267776398035956,-16.14132852121952,19.13033503601019,208.5667270167265,4.733272983273508,1,1,0.927,0.958,1.0,0.0,0.0,0,,1.0,False,0.0
151.81583,16.09561,209.82786135382415,2.5753863220632884,Simon+2011_Table3,J100715.80+160544.2,18.95025749197294,5.503546730313724,19.7332532955117,208.5667270167265,1.2611343370976442,1,3,0.993,0.998,1.0,9.099999999999994,0.9625422444305078,2,0.4812711222152539,0.617997342178796,False,0.0
151.75558,16.03333,211.03891891891888,2.386227374137067,Simon+2011_Table3,J100701.34+160200.0,-4.289168803382711,-19.497247606954204,19.963457447816825,208.5667270167265,2.472191902192378,1,2,0.995,0.999,1.0,8.400000000000006,2.118918918918922,1,2.118918918918922,0.14548920880587496,False,0.0
151.81162,16.10753,205.7,5.4,Simon+2011_Table3,J100714.79+160627.1,17.326390525948035,10.28854140758101,20.150878217913256,208.5667270167265,-2.8667270167265144,1,1,0.885,0.809,1.0,0.0,0.0,0,,1.0,False,0.0
151.71762,16.06367,204.2,5.3,Simon+2011_Table3,J100652.23+160349.2,-18.930971661005067,-7.31799102068853,20.296174038686576,208.5667270167265,-4.366727016726514,1,1,0.984,0.998,1.0,0.0,0.0,0,,1.0,False,0.0
151.81775,16.06119,198.434984884422,2.3990867185606906,Simon+2011_Table3,J100716.26+160340.3,19.690833400466087,-8.31352682602493,21.373901101388743,208.5667270167265,-10.13174213230451,1,4,0.828,0.964,1.0,24.19999999999999,8.300315831017562,3,2.7667719436725204,0.04019618395282398,False,0.0
151.76383,16.02794,212.29012488693525,11.431217854679547,Simon+2011_Table3,J100703.32+160140.6,-1.1070066965490863,-21.660932280651245,21.689201255305917,208.5667270167265,3.7233978702087427,1,2,0.985,0.996,1.0,3.0999999999999943,0.015249853214211982,1,0.015249853214211982,0.9017188581201226,False,0.0
