schema_version,row_type,galaxy,distance_pc,axis_ratio_q,seeing_arcsec,nrdat,nvdat,nrlib,nvlib,nvel,irrat,ivrat,radial_rmin_arcsec,radial_rmax_arcsec,a,b,radial_grid_mode,aperture_source,velocity_grid_mode,star_velocity_frame,seeing_mode,source_data_csv,source_surface_brightness_csv,source_kinematic_bins_csv,ir,iv,r_inner_arcsec,r_outer_arcsec,r_inner_pc,r_outer_pc,vcoord_inner,vcoord_outer,light_raw,light_seen,source_ir,source_iv,target_ir,target_iv,sumb,sumbn,aperture_id,aperture_name,ir_start,ir_end,iv_start,iv_end,aperture_light,star_count,aperture_mean_velocity_kms,aperture_sigma_kms,aperture_sigma_lo_kms,aperture_sigma_hi_kms,aperture_sigma_err_kms,losvd_center_kms,losvd_shape,losvd_vmin_kms,losvd_vmax_kms,losvd_sigma_extent,mkherm_nsim,mkherm_econt_frac,mkherm_rng,velocity_bin,velocity_low_kms,velocity_center_kms,velocity_high_kms,losvd_target,losvd_sigma,losvd_supported
1,spatial_cell,Draco,76000,0.69999999999999996,0,112,20,28,5,21,4,4,0,2137.3469916176678,,,kinematic_bins,kinematic_bins,data_range,subtract_systemic,none,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_stars.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_surface_brightness.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_losvd_bins.csv,2,5,98.1126387504615,124.24143980377175,36.150428388960087,45.777807367247078,0.80000000000000004,1,0.0065279158830507155,0.0065279158830507163,,,,,,,,,,,,,,,,,,,,0,gaussian,,,4.5,100,0.016666666666666666,ran1+gasdev_cached,,,,,,,
1,spatial_cell,Draco,76000,0.69999999999999996,0,112,20,28,5,21,4,4,0,2137.3469916176678,,,kinematic_bins,kinematic_bins,data_range,subtract_systemic,none,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_stars.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_surface_brightness.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_losvd_bins.csv,3,1,124.24143980377175,165.7314257017097,45.777807367247078,61.065148694280708,0,0.20000000000000001,0.00423820217276455,0.0042382021727645509,,,,,,,,,,,,,,,,,,,,0,gaussian,,,4.5,100,0.016666666666666666,ran1+gasdev_cached,,,,,,,
1,spatial_cell,Draco,76000,0.69999999999999996,0,112,20,28,5,21,4,4,0,2137.3469916176678,,,kinematic_bins,kinematic_bins,data_range,subtract_systemic,none,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_stars.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_surface_brightness.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_losvd_bins.csv,3,2,124.24143980377175,165.7314257017097,45.777807367247078,61.065148694280708,0.20000000000000001,0.40000000000000002,0.0044173379192953798,0.0044173379192953806,,,,,,,,,,,,,,,,,,,,0,gaussian,,,4.5,100,0.016666666666666666,ran1+gasdev_cached,,,,,,,
1,spatial_cell,Draco,76000,0.69999999999999996,0,112,20,28,5,21,4,4,0,2137.3469916176678,,,kinematic_bins,kinematic_bins,data_range,subtract_systemic,none,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_stars.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_surface_brightness.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_losvd_bins.csv,3,3,124.24143980377175,165.7314257017097,45.777807367247078,61.065148694280708,0.40000000000000002,0.60000000000000009,0.004868216446577936,0.0048682164465779368,,,,,,,,,,,,,,,,,,,,0,gaussian,,,4.5,100,0.016666666666666666,ran1+gasdev_cached,,,,,,,
1,spatial_cell,Draco,76000,0.69999999999999996,0,112,20,28,5,21,4,4,0,2137.3469916176678,,,kinematic_bins,kinematic_bins,data_range,subtract_systemic,none,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_stars.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_surface_brightness.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_losvd_bins.csv,3,4,124.24143980377175,165.7314257017097,45.777807367247078,61.065148694280708,0.60000000000000009,0.80000000000000004,0.0059511410280904736,0.0059511410280904745,,,,,,,,,,,,,,,,,,,,0,gaussian,,,4.5,100,0.016666666666666666,ran1+gasdev_cached,,,,,,,
1,spatial_cell,Draco,76000,0.69999999999999996,0,112,20,28,5,21,4,4,0,2137.3469916176678,,,kinematic_bins,kinematic_bins,data_range,subtract_systemic,none,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_stars.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_surface_brightness.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_losvd_bins.csv,3,5,124.24143980377175,165.7314257017097,45.777807367247078,61.065148694280708,0.80000000000000004,1,0.013406168953550646,0.013406168953550648,,,,,,,,,,,,,,,,,,,,0,gaussian,,,4.5,100,0.016666666666666666,ran1+gasdev_cached,,,,,,,
1,spatial_cell,Draco,76000,0.69999999999999996,0,112,20,28,5,21,4,4,0,2137.3469916176678,,,kinematic_bins,kinematic_bins,data_range,subtract_systemic,none,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_stars.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_surface_brightness.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_losvd_bins.csv,4,1,165.7314257017097,196.6724163440845,61.065148694280708,72.465625347531585,0,0.20000000000000001,0.0039353126872389167,0.0039353126872389175,,,,,,,,,,,,,,,,,,,,0,gaussian,,,4.5,100,0.016666666666666666,ran1+gasdev_cached,,,,,,,
1,spatial_cell,Draco,76000,0.69999999999999996,0,112,20,28,5,21,4,4,0,2137.3469916176678,,,kinematic_bins,kinematic_bins,data_range,subtract_systemic,none,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_stars.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_surface_brightness.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_losvd_bins.csv,4,2,165.7314257017097,196.6724163440845,61.065148694280708,72.465625347531585,0.20000000000000001,0.40000000000000002,0.0041073183599311721,0.004107318359931173,,,,,,,,,,,,,,,,,,,,0,gaussian,,,4.5,100,0.016666666666666666,ran1+gasdev_cached,,,,,,,
1,spatial_cell,Draco,76000,0.69999999999999996,0,112,20,28,5,21,4,4,0,2137.3469916176678,,,kinematic_bins,kinematic_bins,data_range,subtract_systemic,none,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_stars.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_surface_brightness.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_losvd_bins.csv,4,3,165.7314257017097,196.6724163440845,61.065148694280708,72.465625347531585,0.40000000000000002,0.60000000000000009,0.0045179671805293427,0.0045179671805293435,,,,,,,,,,,,,,,,,,,,0,gaussian,,,4.5,100,0.016666666666666666,ran1+gasdev_cached,,,,,,,
1,spatial_cell,Draco,76000,0.69999999999999996,0,112,20,28,5,21,4,4,0,2137.3469916176678,,,kinematic_bins,kinematic_bins,data_range,subtract_systemic,none,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_stars.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_surface_brightness.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_losvd_bins.csv,4,4,165.7314257017097,196.6724163440845,61.065148694280708,72.465625347531585,0.60000000000000009,0.80000000000000004,0.0053979216816206843,0.0053979216816206852,,,,,,,,,,,,,,,,,,,,0,gaussian,,,4.5,100,0.016666666666666666,ran1+gasdev_cached,,,,,,,
1,spatial_cell,Draco,76000,0.69999999999999996,0,112,20,28,5,21,4,4,0,2137.3469916176678,,,kinematic_bins,kinematic_bins,data_range,subtract_systemic,none,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_stars.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_surface_brightness.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_losvd_bins.csv,4,5,165.7314257017097,196.6724163440845,61.065148694280708,72.465625347531585,0.80000000000000004,1,0.011612267944880543,0.011612267944880544,,,,,,,,,,,,,,,,,,,,0,gaussian,,,4.5,100,0.016666666666666666,ran1+gasdev_cached,,,,,,,
1,spatial_cell,Draco,76000,0.69999999999999996,0,112,20,28,5,21,4,4,0,2137.3469916176678,,,kinematic_bins,kinematic_bins,data_range,subtract_systemic,none,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_stars.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_surface_brightness.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/Draco_losvd_bins.csv,5,1,196.6724163440845,232.16595056806557,72.465625347531585,85.543530259036885,0,0.20000000000000001,0.0052645311908566033,0.0052645311908566042,,,,,,,,,,,,,,,,,,,,0,gaussian,,,4.5,100,0.016666666666666666,ran1+gasdev_cached,,,,,,,
