bin_id,R_inner_pc,R_outer_pc,R_pc,Sigma,Sigma_err,light_raw,light_frac,q_axis_ratio,ellipticity,area_pc2,source_surface_brightness_csv,source_target_bins_csv,rebin_method,galaxy,source,preferred_profile,radius_type,pc_per_arcmin_assumed,note,N_vlos
10,141.37319996816893,154.9200762728879,148.14663812052842,3.29636212657366,0.3339919327044477,28681.036396566644,0.040441215456059484,0.69,0.31000000000000005,8700.814805920185,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
11,154.9200762728879,170.1094700568477,162.5147731648678,2.82619566326891,0.2949834212718522,30245.757934412584,0.042647524878278956,0.69,0.31000000000000005,10701.933460413327,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
12,170.1094700568477,180.01085138605606,175.0601607214519,2.5432950782349413,0.2532107419634151,19112.11805925106,0.026948722269615828,0.69,0.31000000000000005,7514.707287726504,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
13,180.01085138605606,190.8035698691138,185.40721062758493,2.3585424854194406,0.21612018285933599,20461.154379660624,0.028850908360013305,0.69,0.31000000000000005,8675.338479655089,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
14,190.8035698691138,202.377406324819,196.5904880969664,2.183928864813126,0.1760320400825675,21543.05497357586,0.03037642418920428,0.69,0.31000000000000005,9864.357452603776,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
15,202.377406324819,218.9360199178906,210.6567131213548,1.9942561708106716,0.15493605479601485,30158.461238369775,0.0425244336327446,0.69,0.31000000000000005,15122.66161177792,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
16,218.9360199178906,232.8273975774611,225.88170874767587,1.8193789455128602,0.14316566776368317,24750.188253459597,0.03489858880608692,0.69,0.31000000000000005,13603.646625955005,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
17,232.8273975774611,253.30818707224225,243.06779232485167,1.6521109784454664,0.1298791709896779,35656.79355599515,0.05027726511454981,0.69,0.31000000000000005,21582.565591051258,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
18,253.30818707224225,276.5158461298073,264.9120166010248,1.2489184815651548,0.11063728944632745,33288.63948265465,0.046938089089356635,0.69,0.31000000000000005,26653.972996649914,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
19,276.5158461298073,297.9401005445625,287.2279733371849,0.951571696069244,0.09084779189726438,25386.50562531061,0.03579581746887474,0.69,0.31000000000000005,26678.500138431275,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
20,297.9401005445625,321.1431787286242,309.54163963659335,0.8550772270424895,0.08320114247908532,26625.57413725863,0.03754294529102371,0.69,0.31000000000000005,31138.209854272714,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
21,321.1431787286242,358.449941991465,339.7965603600446,0.7019706804454787,0.07220049031852983,38579.31230064934,0.05439811376843879,0.69,0.31000000000000005,54958.58071474789,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
22,358.449941991465,392.0732174503296,375.26157972089726,0.44790195627248774,0.05454821823846745,24501.12575726841,0.034547402400853064,0.69,0.31000000000000005,54701.98424934494,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
23,392.0732174503296,441.64621765984487,416.8597175550872,0.33208935762370584,0.03848104328220457,29752.197671942205,0.041951588488842784,0.69,0.31000000000000005,89590.93987484764,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
24,441.64621765984487,485.50758035002207,463.5768990049335,0.25603160207610703,0.025929928492008387,22569.73392226278,0.03182407566155549,0.69,0.31000000000000005,88152.14113902152,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
25,485.50758035002207,535.524246350928,510.5159133504751,0.2125652001579092,0.02091275376593775,23531.25815931192,0.03317985682298459,0.69,0.31000000000000005,110701.36664812094,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
26,535.524246350928,610.9547508536357,573.2394986022819,0.16803349132568537,0.015490980637059074,31499.809696549113,0.04441577958164405,0.69,0.31000000000000005,187461.49620551325,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
27,610.9547508536357,779.1618670142577,695.0583089339467,0.10862186580046279,0.011844179491201139,55056.908538674346,0.07763207262704179,0.69,0.31000000000000005,506867.63786412304,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,20
28,779.1618670142577,787.5516355074246,783.3567512608412,0.09331258398046449,0.009839795897467246,2658.7575906742163,0.003748936652190192,0.69,0.31000000000000005,28493.022883503494,Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_profile.csv,Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,loglog,Draco,Odenkirchen_et_al_2001_Table_3,S2,elliptical_major_axis,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.,3
