galaxy,source,surface_brightness_source,aperture_id,bin_id,vel_bin_id,R_inner_pc,R_outer_pc,R_mid_pc,v_left_kms,v_right_kms,v_mid_kms,N_vlos,light_frac,light_frac_err_approx,counts_eff,p_losvd,p_losvd_err_dirichlet,sumad,sadfer,sadfer_kinematic,sadfer_light,sadfer_with_light,sadfer_model,alpha_dirichlet,sigma_floor,v_sys_kms,velocity_error_smearing,velocity_units,sumad_units,sadfer_units,source_star_csv,source_kinematic_bins_csv,source_surface_brightness_csv,valid,note
Draco,Walker_et_al_2023_velocity_sample,Odenkirchen_et_al_2001_Table_3,0,0,10,0.0,36.15042838896009,18.600079289113534,-2.255954732500072,1.6502360148063815,-0.30285935884684534,20,0.026634192977848862,0.0,4.537187978405886,0.22685939892029433,0.06615948940220027,0.006042217009681917,0.0017621046080541487,0.0017621046080541487,0.0,0.0017621046080541487,dirichlet_jeffreys_velocity_only,0.5,1e-08,-291.68214888089926,gaussian_cdf_per_velocity_bin_then_renormalized,km_per_s,fraction_of_total_projected_light,fraction_of_total_projected_light,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_walker2023.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_on_walker_bins_20.csv,1,LOSVD aperture product. sumad is light_frac * p_losvd. sadfer is the finite-count uncertainty on sumad from the velocity sample only. sadfer_with_light also includes the approximate light_frac uncertainty.
Draco,Walker_et_al_2023_velocity_sample,Odenkirchen_et_al_2001_Table_3,0,0,11,0.0,36.15042838896009,18.600079289113534,1.6502360148063815,5.556426762112842,3.603331388459612,20,0.026634192977848862,0.0,3.2385396925615924,0.1619269846280796,0.0584320046134474,0.0043127945569054384,0.001556289286957113,0.001556289286957113,0.0,0.001556289286957113,dirichlet_jeffreys_velocity_only,0.5,1e-08,-291.68214888089926,gaussian_cdf_per_velocity_bin_then_renormalized,km_per_s,fraction_of_total_projected_light,fraction_of_total_projected_light,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_walker2023.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_on_walker_bins_20.csv,1,LOSVD aperture product. sumad is light_frac * p_losvd. sadfer is the finite-count uncertainty on sumad from the velocity sample only. sadfer_with_light also includes the approximate light_frac uncertainty.
Draco,Walker_et_al_2023_velocity_sample,Odenkirchen_et_al_2001_Table_3,0,0,12,0.0,36.15042838896009,18.600079289113534,5.556426762112842,9.462617509419303,7.509522135766073,20,0.026634192977848862,0.0,1.7870251374851327,0.08935125687425663,0.0469250553726011,0.0023797986184022958,0.0012498109802901013,0.0012498109802901013,0.0,0.0012498109802901013,dirichlet_jeffreys_velocity_only,0.5,1e-08,-291.68214888089926,gaussian_cdf_per_velocity_bin_then_renormalized,km_per_s,fraction_of_total_projected_light,fraction_of_total_projected_light,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_walker2023.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_on_walker_bins_20.csv,1,LOSVD aperture product. sumad is light_frac * p_losvd. sadfer is the finite-count uncertainty on sumad from the velocity sample only. sadfer_with_light also includes the approximate light_frac uncertainty.
Draco,Walker_et_al_2023_velocity_sample,Odenkirchen_et_al_2001_Table_3,0,0,13,0.0,36.15042838896009,18.600079289113534,9.462617509419303,13.368808256725757,11.41571288307253,20,0.026634192977848862,0.0,1.8294967701067955,0.09147483850533977,0.04732310614430053,0.0024363585013687794,0.0012604127413585254,0.0012604127413585254,0.0,0.0012604127413585254,dirichlet_jeffreys_velocity_only,0.5,1e-08,-291.68214888089926,gaussian_cdf_per_velocity_bin_then_renormalized,km_per_s,fraction_of_total_projected_light,fraction_of_total_projected_light,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_walker2023.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_on_walker_bins_20.csv,1,LOSVD aperture product. sumad is light_frac * p_losvd. sadfer is the finite-count uncertainty on sumad from the velocity sample only. sadfer_with_light also includes the approximate light_frac uncertainty.
Draco,Walker_et_al_2023_velocity_sample,Odenkirchen_et_al_2001_Table_3,0,0,14,0.0,36.15042838896009,18.600079289113534,13.368808256725757,17.274999004032217,15.321903630378987,20,0.026634192977848862,0.0,0.7976569171029271,0.03988284585514636,0.03596115866967113,0.0010622474130117677,0.0009577964397150635,0.0009577964397150635,0.0,0.0009577964397150635,dirichlet_jeffreys_velocity_only,0.5,1e-08,-291.68214888089926,gaussian_cdf_per_velocity_bin_then_renormalized,km_per_s,fraction_of_total_projected_light,fraction_of_total_projected_light,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_walker2023.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_on_walker_bins_20.csv,1,LOSVD aperture product. sumad is light_frac * p_losvd. sadfer is the finite-count uncertainty on sumad from the velocity sample only. sadfer_with_light also includes the approximate light_frac uncertainty.
Draco,Walker_et_al_2023_velocity_sample,Odenkirchen_et_al_2001_Table_3,0,0,15,0.0,36.15042838896009,18.600079289113534,17.274999004032217,21.181189751338678,19.228094377685448,20,0.026634192977848862,0.0,0.3771429004105512,0.01885714502052756,0.029777863294264524,0.0005022448394880128,0.0007931093574474436,0.0007931093574474436,0.0,0.0007931093574474436,dirichlet_jeffreys_velocity_only,0.5,1e-08,-291.68214888089926,gaussian_cdf_per_velocity_bin_then_renormalized,km_per_s,fraction_of_total_projected_light,fraction_of_total_projected_light,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_walker2023.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_on_walker_bins_20.csv,1,LOSVD aperture product. sumad is light_frac * p_losvd. sadfer is the finite-count uncertainty on sumad from the velocity sample only. sadfer_with_light also includes the approximate light_frac uncertainty.
Draco,Walker_et_al_2023_velocity_sample,Odenkirchen_et_al_2001_Table_3,0,0,16,0.0,36.15042838896009,18.600079289113534,21.181189751338678,25.087380498645132,23.134285124991905,20,0.026634192977848862,0.0,0.002832416782979852,0.0001416208391489926,0.02268802241228583,3.771956759579162e-06,0.0006042771672145808,0.0006042771672145808,0.0,0.0006042771672145808,dirichlet_jeffreys_velocity_only,0.5,1e-08,-291.68214888089926,gaussian_cdf_per_velocity_bin_then_renormalized,km_per_s,fraction_of_total_projected_light,fraction_of_total_projected_light,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_walker2023.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_on_walker_bins_20.csv,1,LOSVD aperture product. sumad is light_frac * p_losvd. sadfer is the finite-count uncertainty on sumad from the velocity sample only. sadfer_with_light also includes the approximate light_frac uncertainty.
Draco,Walker_et_al_2023_velocity_sample,Odenkirchen_et_al_2001_Table_3,0,0,17,0.0,36.15042838896009,18.600079289113534,25.087380498645132,28.9935712459516,27.040475872298366,20,0.026634192977848862,0.0,8.800051864987779e-08,4.400025932493889e-09,0.02262510226414349,1.1719113979358162e-10,0.000602601339846763,0.000602601339846763,0.0,0.000602601339846763,dirichlet_jeffreys_velocity_only,0.5,1e-08,-291.68214888089926,gaussian_cdf_per_velocity_bin_then_renormalized,km_per_s,fraction_of_total_projected_light,fraction_of_total_projected_light,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_walker2023.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_on_walker_bins_20.csv,1,LOSVD aperture product. sumad is light_frac * p_losvd. sadfer is the finite-count uncertainty on sumad from the velocity sample only. sadfer_with_light also includes the approximate light_frac uncertainty.
Draco,Walker_et_al_2023_velocity_sample,Odenkirchen_et_al_2001_Table_3,0,0,18,0.0,36.15042838896009,18.600079289113534,28.9935712459516,32.89976199325805,30.946666619604827,20,0.026634192977848862,0.0,1.1879386363489175e-14,5.939693181744587e-16,0.02262510030630696,1.5819893443179846e-17,0.000602601287701367,0.000602601287701367,0.0,0.000602601287701367,dirichlet_jeffreys_velocity_only,0.5,1e-08,-291.68214888089926,gaussian_cdf_per_velocity_bin_then_renormalized,km_per_s,fraction_of_total_projected_light,fraction_of_total_projected_light,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_walker2023.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_on_walker_bins_20.csv,1,LOSVD aperture product. sumad is light_frac * p_losvd. sadfer is the finite-count uncertainty on sumad from the velocity sample only. sadfer_with_light also includes the approximate light_frac uncertainty.
Draco,Walker_et_al_2023_velocity_sample,Odenkirchen_et_al_2001_Table_3,0,0,19,0.0,36.15042838896009,18.600079289113534,32.89976199325805,36.80595274056452,34.85285736691129,20,0.026634192977848862,0.0,0.0,0.0,0.022625100306306694,0.0,0.0006026012877013598,0.0006026012877013598,0.0,0.0006026012877013598,dirichlet_jeffreys_velocity_only,0.5,1e-08,-291.68214888089926,gaussian_cdf_per_velocity_bin_then_renormalized,km_per_s,fraction_of_total_projected_light,fraction_of_total_projected_light,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_walker2023.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_walker2023_kinematic_bins_20.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Draco/draco_oden_kirchen2001_surface_brightness_on_walker_bins_20.csv,1,LOSVD aperture product. sumad is light_frac * p_losvd. sadfer is the finite-count uncertainty on sumad from the velocity sample only. sadfer_with_light also includes the approximate light_frac uncertainty.
