ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err,x_pc,y_pc,r_pc,has_vlos,preprocess_mode,R_deg,R_pc
260.05194405388,57.91451930676,-295.07000732421875,1.4800000190734863,walker+2023 (hectocat),,,,,,,,,0.1719539416398122,-1.0355507289423471,1.0497301892669824,True,dwarf,0.0007913832501387436,1.049730495364176
260.04055846673,57.91382786147,-285.0299987792969,1.559999942779541,walker+2023 (hectocat),,,,,,,,,-7.85003115681388,-1.9527184939507336,8.089258228018554,True,dwarf,0.006098543412021574,8.089414320784506
260.06829710253,57.91577881189,-295.94000244140625,0.75,walker+2023 (hectocat),,,,,,,,,11.69388169614136,0.6351201423395736,11.711116373709014,True,dwarf,0.008828856327648566,11.711038519828207
260.03105266487,57.90906564605,-304.0799865722656,0.7300000190734863,walker+2023 (hectocat),,,,,,,,,-14.54756900576091,-8.26956024031933,16.733720164555333,True,dwarf,0.012616242337343474,16.734817569227307
260.0539029277,57.9008407856,-288.9200134277344,0.6700000166893005,walker+2023 (hectocat),,,,,,,,,1.5521248881878529,-19.17942828840502,19.24212984933328,True,dwarf,0.01450650359081773,19.242155046523372
260.0267312867,57.92619665789,-314.8099975585937,1.3799999952316284,walker+2023 (hectocat),,,,,,,,,-17.592298348906162,14.45387438094592,22.76847482413109,True,dwarf,0.017163412757590528,22.766412825905313
260.04421898184,57.89656046712,-274.8999938964844,1.590000033378601,walker+2023 (hectocat),,,,,,,,,-5.270928535357328,-24.857057727176723,25.40976203109821,True,dwarf,0.01915642714257627,25.41004721828375
260.0332382988,57.89795317363,-307.20001220703125,1.3200000524520874,walker+2023 (hectocat),,,,,,,,,-13.00762885284709,-23.009701854549647,26.431889599661343,True,dwarf,0.01992795092150478,26.433435113463332
260.09003043955,57.90852395408,-289.5199890136719,2.1700000762939453,walker+2023 (hectocat),,,,,,,,,27.006619055853086,-8.988087679338896,28.46301447421637,True,dwarf,0.021459855964247047,28.465430912068868
260.08182671557,57.90059596384,-295.489990234375,1.0800000429153442,walker+2023 (hectocat),,,,,,,,,21.226491017456212,-19.50417216865397,28.82666565696847,True,dwarf,0.021734599311247025,28.829864288304385
