ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err,x_pc,y_pc,r_pc,has_vlos,preprocess_mode,R_deg,R_pc
100.41298245736,-50.96510144058,221.00999450683597,1.4500000476837158,walker+2023 (m2fshi),,,,,,,,,11.636489683264037,1.829955713856246,11.779500416545073,True,dwarf,0.006427835590177811,11.779623956674946
100.42267547427,-50.96890725297,235.75999450683597,1.2400000095367432,walker+2023 (m2fshi),,,,,,,,,22.82351356498148,-5.144559762606527,23.39613785653358,True,dwarf,0.012766299098390131,23.395465018935585
100.42395712272,-50.96795998426,222.6300048828125,1.4700000286102295,walker+2023 (m2fshi),,,,,,,,,24.30270543592141,-3.408599184092087,24.540579453284256,True,dwarf,0.013390895408780867,24.540097540708903
100.37899698796,-50.96803829404,230.97000122070312,0.6499999761581421,walker+2023 (m2fshi),,,,,,,,,-27.58723821694213,-3.5521093513402047,27.814981453924982,True,dwarf,0.015177603149006496,27.8144104886784
100.42365222548,-50.95405210815,226.9600067138672,1.0,walker+2023 (m2fshi),,,,,,,,,23.95081368365081,22.078914974194564,32.57483633952238,True,dwarf,0.01777649015741226,32.577119682996944
100.42365222548,-50.95405210815,226.9600067138672,1.0,walker+2023 (m2fshi),,,,,,,,,23.95081368365081,22.078914974194564,32.57483633952238,True,dwarf,0.01777649015741226,32.577119682996944
100.40648036663,-50.9869191359,223.27999877929688,0.6499999761581421,walker+2023 (m2fshi),,,,,,,,,4.132216766677595,-38.15305923190127,38.37617938461016,True,dwarf,0.02094083237417447,38.37607966894439
100.36543836042,-50.96579615683,223.9600067138672,1.2000000476837158,walker+2023 (m2fshi),,,,,,,,,-43.23568817857274,0.5568216912338331,43.23927361404911,True,dwarf,0.023594628204888432,43.239414535718346
100.37816259324,-50.9838875107,228.3800048828125,1.4800000190734863,walker+2023 (m2fshi),,,,,,,,,-28.55024011262497,-32.59731588212744,43.33244988698121,True,dwarf,0.023643429686971286,43.328847922649224
100.39326912225,-50.94111904586,230.3999938964844,1.2999999523162842,walker+2023 (m2fshi),,,,,,,,,-11.115307070205242,45.77998950342555,47.11005720861213,True,dwarf,0.02570712236685037,47.110762284034735
100.40777740007,-50.99286035272,213.07000732421875,4.260000228881836,walker+2023 (m2fshi),,,,,,,,,5.629164951476955,-49.04090771571112,49.36292260018476,True,dwarf,0.026935966992320207,49.362737678572685
100.37110856448,-50.94616978817,218.17999267578125,1.059999942779541,walker+2023 (m2fshi),,,,,,,,,-36.69152253619547,36.524020790599245,51.77134265919965,True,dwarf,0.028253323733054034,51.776919996233076
100.4468247397,-50.9727158247,232.30999755859372,0.699999988079071,walker+2023 (m2fshi),,,,,,,,,50.69496077283716,-12.124131993744292,52.12459711461789,True,dwarf,0.028441125776347154,52.12108521596406
100.4468247397,-50.9727158247,232.30999755859372,0.699999988079071,walker+2023 (m2fshi),,,,,,,,,50.69496077283716,-12.124131993744292,52.12459711461789,True,dwarf,0.028441125776347154,52.12108521596406
100.35560633659,-50.95996048081,219.5399932861328,1.4199999570846558,walker+2023 (m2fshi),,,,,,,,,-54.58314443633328,11.251256557260335,55.730695587574665,True,dwarf,0.030412723733214225,55.73422718262102
