R_pc,Sigma_s9,dlnSigma_dlnR_s9,nu_s9,dlnnu_dlnr_s9,relative_nu_vs_s18_s9,Sigma_s18,dlnSigma_dlnR_s18,nu_s18,dlnnu_dlnr_s18,relative_nu_vs_s18_s18,Sigma_s36,dlnSigma_dlnR_s36,nu_s36,dlnnu_dlnr_s36,relative_nu_vs_s18_s36
15.691,0.01443137707772819,-0.7991093504860382,0.0001873380963294653,-3.130430540943874,-0.03149644712462756,0.014365134821800575,-0.8606908568947352,0.000193430468864343,-3.314332475790087,0.0,0.014365134821800575,-0.8606908568947352,0.000193430468864343,-3.314332475790087,0.0
15.956217319392014,0.014242060167377122,-0.7766361436373829,0.0001777619052281269,-3.120955969299189,-0.028506499752179153,0.014162411502523304,-0.8352764924360477,0.00018297796658730208,-3.305778617255015,0.0,0.014162411502523304,-0.8352764924360477,0.00018297796658730208,-3.305778617255015,0.0
16.225917477768494,0.014060479429907907,-0.7545250878761995,0.00016872880348551157,-3.10171080023116,-0.025477244062392,0.013968450281857047,-0.8102700666652659,0.000173139931784532,-3.2884213149103516,0.0,0.013968450281857047,-0.8102700666652659,0.000173139931784532,-3.2884213149103516,0.0
16.500176246370224,0.013886317087130692,-0.7327761832024863,0.00016020719030015494,-3.0818408606311323,-0.02240684828028941,0.013782874085336298,-0.7856715795823882,0.00016387920682374885,-3.270526763790656,0.0,0.013782874085336298,-0.7856715795823882,0.00016387920682374885,-3.270526763790656,0.0
16.779070677162274,0.013719270706730517,-0.7113894296162432,0.0001521674677999912,-3.061280827734663,-0.019293632801594986,0.013605325184610382,-0.761481031187414,0.00015516108887381829,-3.2520168881564473,0.0,0.013605325184610382,-0.761481031187414,0.00015516108887381829,-3.2520168881564473,0.0
17.062679124481495,0.013559052310534132,-0.6903648271174725,0.00014458189639769936,-3.039963924544338,-0.016136139413389854,0.013435464019437652,-0.7376984214803461,0.00014695315296111715,-3.2328097517735728,0.0,0.013435464019437652,-0.7376984214803461,0.00014695315296111715,-3.2328097517735728,0.0
17.35108126704991,0.013405387537467395,-0.6697023757061706,0.00013742447032418764,-3.0178729959195607,-0.012933146898042352,0.013272968095718245,-0.7143237504611811,0.00013922508885018002,-3.212819597576072,0.0,0.013272968095718245,-0.7143237504611811,0.00013922508885018002,-3.212819597576072,0.0
17.64435813036007,0.013258014857483097,-0.6494020753823406,0.00013067057098762407,-2.994781327653186,-0.009685436523576445,0.013117530954122122,-0.6913570181299217,0.00013194855029589287,-3.1919569421461347,0.0,0.013117530954122122,-0.6913570181299217,0.00013194855029589287,-3.1919569421461347,0.0
17.942592109438955,0.013116684833012742,-0.629463926145981,0.00012429799607387629,-2.9707206163599267,-0.006387201526449258,0.012968861204289993,-0.668798224486566,0.00012509701592494635,-3.1701286949972314,0.0,0.012968861204289993,-0.668798224486566,0.00012509701592494635,-3.1701286949972314,0.0
18.245866991996447,0.012981159424747313,-0.6098879279970919,0.00011828458087756467,-2.945721762043206,-0.0030433460152693133,0.01282668161996857,-0.6466473695311148,0.00011864566067621262,-3.1472383623620885,0.0,0.01282668161996857,-0.6466473695311148,0.00011864566067621262,-3.1472383623620885,0.0
18.55426798196524,0.012851211338784517,-0.5906740809356742,0.00011261037971519324,-2.9195546219222024,0.00034771542780348135,0.012690728290795634,-0.6249044532635687,0.00011257123695937555,-3.12318631858426,0.0,0.012690728290795634,-0.6249044532635687,0.00011257123695937555,-3.12318631858426,0.0
18.867881723438558,0.012726623412395551,-0.5718223849617262,0.00010725644277161452,-2.892196595389464,0.0037854055064568005,0.012560749826775398,-0.6035694756839257,0.00010685196475585199,-3.0978701565092024,0.0,0.012560749826775398,-0.6035694756839257,0.00010685196475585199,-3.0978701565092024,0.0
19.186796325012445,0.012607188035861841,-0.5533328400752492,0.00010220495995762328,-2.8635736298140273,0.007268637940559133,0.012436506611783955,-0.582642436792188,0.00010146742994658252,-3.0711851356617217,0.0,0.012436506611783955,-0.582642436792188,0.00010146742994658252,-3.0711851356617217,0.0
19.511101384539568,0.01249270660801601,-0.5352054462762436,9.743918666475065e-05,-2.8336121584965213,0.01079577571680394,0.01231777010271984,-0.5621233365883551,9.639849018527192e-05,-3.043024734993935,0.0,0.01231777010271984,-0.5621233365883551,9.639849018527192e-05,-3.043024734993935,0.0
19.840888014301427,0.012382989023291043,-0.517440203564708,9.294337349632788e-05,-2.8022399770870834,0.014364576652541098,0.012204322171168527,-0.542012175072426,9.162718773465663e-05,-3.013281306075555,0.0,0.012204322171168527,-0.542012175072426,9.162718773465663e-05,-3.013281306075555,0.0
20.176248866605928,0.012277853188238064,-0.5000371119406437,8.870270130189085e-05,-2.7693824394260673,0.01797214180163957,0.012095954484683123,-0.5223089522444019,8.713666873525829e-05,-2.981846853616844,0.0,0.012095954484683123,-0.5223089522444019,8.713666873525829e-05,-2.981846853616844,0.0
20.51727815981779,0.01217712456561834,-0.48299617140404955,8.470323325751776e-05,-2.734985819025951,0.02161501559766001,0.01199246792499914,-0.5030136681042817,8.29111083571585e-05,-2.9486140414400097,0.0,0.01199246792499914,-0.5030136681042817,8.29111083571585e-05,-2.9486140414400097,0.0
20.86407170482876,0.012080635744309953,-0.46631738195492584,8.093179457143953e-05,-2.6989774605042385,0.025288366357690308,0.011893672040699866,-0.48412632265206584,7.893564115912831e-05,-2.913476878678921,0.0,0.011893672040699866,-0.48412632265206584,7.893564115912831e-05,-2.913476878678921,0.0
21.21672693197535,0.011988226033393582,-0.45000074359327363,7.737604827574753e-05,-2.661289301100908,0.028987472496041902,0.01179938453203219,-0.4656469158877551,7.519629766536849e-05,-2.8763322238293654,0.0,0.01179938453203219,-0.4656469158877551,7.519629766536849e-05,-2.8763322238293654,0.0
21.575342918411575,0.011899741078897597,-0.4340462563190916,7.402431824834195e-05,-2.6218814058196926,0.03270614725041677,0.011709430765742134,-0.4475754478113484,7.167994346255411e-05,-2.8370814923787293,0.0,0.011709430765742134,-0.4475754478113484,7.167994346255411e-05,-2.8370814923787293,0.0
21.940020415944208,0.011815032501789767,-0.41845392013238025,7.08656079081417e-05,-2.5807023443145454,0.03643747625394296,0.011623643317956107,-0.42991191842284604,6.837422375373327e-05,-2.795631228468096,0.0,0.011623643317956107,-0.42991191842284604,6.837422375373327e-05,-2.795631228468096,0.0
22.31086187933867,0.011733957555902052,-0.40322373503313974,6.788954509791525e-05,-2.5377128240173192,0.04017361803767697,0.011541861543278178,-0.41265632772224803,6.526751296191418e-05,-2.7518950369521917,0.0,0.011541861543278178,-0.41265632772224803,6.526751296191418e-05,-2.7518950369521917,0.0
22.687971495103348,0.011656378804567304,-0.38835570102136996,6.508634266163574e-05,-2.492882218352804,0.04390579858803741,0.011463931168407488,-0.3958086757095548,6.234886591268102e-05,-2.7057956066608995,0.0,0.011463931168407488,-0.3958086757095548,6.234886591268102e-05,-2.7057956066608995,0.0
23.071455210760327,0.01158216381483238,-0.37384981809707085,6.244676177598586e-05,-2.4461897418049716,0.04762430132932837,0.011389703908704479,-0.37936896238476586,5.9607973676008933e-05,-2.657266145042513,0.0,0.011389703908704479,-0.37936896238476586,5.9607973676008933e-05,-2.657266145042513,0.0
23.461420764610974,0.011511184868191627,-0.3597060862602428,5.9962077483184493e-05,-2.3976254778603447,0.05131847265013152,0.011319037106248191,-0.3633371877478818,5.7035122128153915e-05,-2.6062523934488695,0.0,0.011319037106248191,-0.3633371877478818,5.7035122128153915e-05,-2.6062523934488695,0.0
23.85797771600465,0.011443318686859098,-0.34592450551088505,5.762404690128916e-05,-2.347191284807707,0.05497674928791909,0.011251793388034207,-0.3477133517989017,5.462115344265534e-05,-2.5527144620234594,0.0,0.011251793388034207,-0.3477133517989017,5.462115344265534e-05,-2.5527144620234594,0.0
24.26123747611891,0.011378446174666329,-0.33250507584899847,5.5424879448818806e-05,-2.2949019482061317,0.058586700595846315,0.011187840343060982,-0.33249745453782653,5.235743035277302e-05,-2.4966288289260206,0.0,0.011187840343060982,-0.33249745453782653,5.235743035277302e-05,-2.4966288289260206,0.0
24.671313339260152,0.011316452171736805,-0.31944779727458217,5.335720879265298e-05,-2.2407862421341065,0.06213509113166699,0.011127050217143568,-0.31768949596465523,5.023580261885781e-05,-2.437990116097353,0.0,0.011127050217143568,-0.31768949596465523,5.023580261885781e-05,-2.437990116097353,0.0
25.088320514693134,0.011257225222147916,-0.30675266978763627,5.141406660808201e-05,-2.1848867323890886,0.0656079546434201,0.01106929962437885,-0.30328947607938844,4.8248576208579903e-05,-2.3768129061801346,0.0,0.01106929962437885,-0.30328947607938844,4.8248576208579903e-05,-2.3768129061801346,0.0
25.51237615900862,0.011200657353847062,-0.2944196933881616,4.958885976648359e-05,-2.127261314305997,0.06899073603290588,0.011014469274265384,-0.2892973948820264,4.638848410465283e-05,-2.3131331699801194,0.0,0.011014469274265384,-0.2892973948820264,4.638848410465283e-05,-2.3131331699801194,0.0
25.94359940903812,0.011146643870139642,-0.28244886807615743,4.78753457198278e-05,-2.0679844244636456,0.07226837013857937,0.010962443713553817,-0.27571325237256855,4.464865984402805e-05,-2.247009930716274,0.0,0.010962443713553817,-0.27571325237256855,4.464865984402805e-05,-2.247009930716274,0.0
26.38211141532486,0.011095083152116174,-0.270840193851624,4.6267611534365806e-05,-2.0071452956588587,0.0754254492863271,0.010913111081972461,-0.26253704855101523,4.3022611716200205e-05,-2.1785264290181203,0.0,0.010913111081972461,-0.26253704855101523,4.3022611716200205e-05,-2.1785264290181203,0.0
26.828035376160603,0.011045876471429922,-0.2595936707145615,4.47600554996084e-05,-1.9448486643782985,0.07844641634174306,0.010866362881035676,-0.24976878341736652,4.150419976491871e-05,-2.1077906650091336,0.0,0.010866362881035676,-0.24976878341736652,4.150419976491871e-05,-2.1077906650091336,0.0
27.281496572197778,0.010998927812878872,-0.24870929866496916,4.334736752731615e-05,-1.8812153624813277,0.08131573703844654,0.010822093755201927,-0.23740845697162188,4.0087613675204394e-05,-2.0349359256105686,0.0,0.010822093755201927,-0.23740845697162188,4.0087613675204394e-05,-2.0349359256105686,0.0
27.742622401646546,0.01095414370628535,-0.23818707770284783,4.2024511922608114e-05,-1.8163812075781038,0.08401810077076595,0.010780201284703302,-0.2254560692137818,3.8767352586389064e-05,-1.960120705472491,0.0,0.010780201284703302,-0.2254560692137818,3.8767352586389064e-05,-1.960120705472491,0.0
28.211542416066862,0.01091143306720326,-0.22802700782819746,4.078671112978995e-05,-1.7504961761366644,0.08653863935855265,0.010740585789419591,-0.21391162014384654,3.753820586985174e-05,-1.88352828642968,0.0,0.010740585789419591,-0.21391162014384654,3.753820586985174e-05,-1.88352828642968,0.0
28.68838835676556,0.010870707046016843,-0.21822908904101757,3.9629430717673214e-05,-1.6837234112517763,0.0888631508264534,0.010703150143217892,-0.20277510976181556,3.639523542292183e-05,-1.805365606621308,0.0,0.010703150143217892,-0.20277510976181556,3.639523542292183e-05,-1.805365606621308,0.0
29.173294191808456,0.010831878885027535,-0.20879332134130849,3.854836506141788e-05,-1.6162380782752734,0.09097831977119962,0.010667799598222897,-0.19204653806768907,3.5333759033362146e-05,-1.7258617771103673,0.0,0.010667799598222897,-0.19204653806768907,3.5333759033362146e-05,-1.7258617771103673,0.0
