R_pc,Sigma_data,Sigma_err,Sigma_current,Sigma_slope_matched,residual_current_sigma,residual_slope_matched_sigma
15.691,0.0145472041931983,0.0036751920434899,0.014365134821800575,0.014365134821800575,0.04954009729103437,0.04954009729103437
34.918000000000006,0.0102598226899531,0.0017853875306658,0.01039627959144615,0.01039627959144615,-0.07642985018617411,-0.07642985018617411
56.355,0.009952703671096,0.0013636114565013,0.010052387475604753,0.010052387475604753,-0.07310279187923331,-0.07310279187923331
78.23400000000001,0.009952703671096,0.001152723614734,0.009497109642592906,0.009497109642592906,0.3952326669461231,0.3952326669461231
100.113,0.0088286480620789,0.000958215626241,0.0086198521945572,0.0086198521945572,0.21790071232796557,0.21790071232796557
121.992,0.0062775127454392,0.0007329963297633,0.007586593441892443,0.007586593441892443,-1.7859307656778756,-1.7859307656778756
144.092,0.0069122253844106,0.000706379559321,0.006523040751448926,0.006523040751448926,0.5509568161000779,0.5509568161000779
166.192,0.005419626952765,0.0005835331761752,0.005522546108251684,0.005522546108251684,-0.17637241495209138,-0.17637241495209138
200.22600000000003,0.004209578018468,0.0003337483101473,0.004189662549120709,0.004189662549120709,0.05967212040265028,0.05967212040265028
244.20500000000004,0.0032063225568682,0.0002641379101073,0.002872327930316115,0.002872327930316115,1.2644706184599077,1.2644706184599077
288.184,0.0017710530087426,0.0001842937045315,0.00194779701669317,0.00194779701669317,-0.9590344303940151,-0.9590344303940151
332.163,0.0014373170082512,0.0001556333687744,0.0013163543221451942,0.0013163543221451942,0.7772284765058872,0.7772284765058872
376.36300000000006,0.0007493704060113,0.0001105999981564,0.0008886235579851231,0.0008886235579851231,-1.2590701111667706,-1.2590701111667706
444.21,0.0004135869453942,5.7400499892101095e-05,0.0004895802131441885,0.0004925677281466944,-1.323912995406612,-1.3759598418299306
556.4780000000001,0.0002129358530742,3.28845298219346e-05,0.0001877833362577904,0.00021566118800722407,0.7648738465353514,-0.08287589780913415
688.1940000000001,6.961364427427775e-05,2.473616561583744e-05,6.421541025478972e-05,9.899025464434307e-05,0.21823244973876607,-1.187597577825757
820.352,2.456952150856861e-05,1.8648754180685403e-05,2.3116198959910433e-05,5.199506192892409e-05,0.07793134783037622,-1.47063659881153
1126.879,4.094920251428107e-06,8.676980446926593e-06,2.607901766067535e-06,1.6240103881494227e-05,0.17137511078376086,-1.3997016248167269
