radius_pc,tracer_density
7.8455,0.042831923126339
15.691,0.0398011963550118
15.956217319392012,0.037766748855001205
16.225917477768494,0.0358476798721936
16.50017624637022,0.03403727588377439
16.779070677162277,0.032329248865606806
17.062679124481495,0.030717705562085803
17.35108126704991,0.02919712110557793
17.64435813036007,0.027762313688458398
17.94259210943895,0.026408421318482096
18.245866991996447,0.025130880202295796
18.55426798196524,0.023925404717280503
18.86788172343856,0.0227879688486919
19.18679632501244,0.0217147889134965
19.511101384539568,0.0207023075402944
19.840888014301427,0.0197471788010955
20.176248866605928,0.018846254380595104
20.51727815981779,0.017996573433623105
20.86407170482876,0.017195336972447
21.216726931975355,0.0164399240481841
21.575342918411568,0.015727854077853095
21.94002041594421,0.015056790857395298
22.310861879338667,0.014424530835279
22.687971495103344,0.0138289947508178
23.071455210760323,0.0132682198158073
23.461420764610974,0.012740352437941001
23.85797771600465,0.0122436414286756
24.26123747611891,0.0117764316880803
24.671313339260152,0.0113371582444293
25.088320514693127,0.0109243406988869
25.51237615900862,0.010536578344574632
25.943599409038118,0.0101725449619608
26.38211141532486,0.0098309843590447
26.828035376160607,0.0095107064651419
27.28149657219777,0.0092105831508895
27.742622401646543,0.0089295445868269
28.211542416066862,0.008666575801858999
28.68838835676556,0.0084207134543279
29.173294191808456,0.00819104282454523
29.6663961536583,0.0079766949633734
30.167832777448673,0.007776844058443299
30.67774493990493,0.007590704945315999
31.196275898923055,0.007417530779740403
31.723571333817297,0.0072566108698989985
32.2597793862484,0.007107268620215402
32.80505070184322,0.006968859627139798
33.359538472518246,0.0068407698706215
33.92339847951816,0.0067224140449344
34.4967891371821,0.006613233949309001
35.07987153744943,0.006512697137196001
35.67280949511804,0.006420295260254199
36.27576959386746,0.006335543048524599
36.888921233059826,0.006257976932243999
37.51243667533216,0.006187153949736699
38.14649109499272,0.0061226506567818
38.79126262723573,0.006064062120910001
39.446932418187664,0.0060110009861666
40.11368467579965,0.0059630965816047
40.79170672159989,0.0059199940950745
41.48118904332113,0.005881353804512999
42.1823253484172,0.005846850333255599
42.89531261848468,0.0058161719777792996
43.6203511646039,0.005789020074766898
44.3576446836157,0.005765108397058001
45.107400315349295,0.0057441625912353
45.86982870081732,0.005725919661833299
46.645144041394815,0.0057101274872124
47.43356415899809,0.0056965443507128
48.23531055728108,0.0056849385228333
49.05060848386592,0.0056750878506431
49.879686993625505,0.0056667794128965
50.72277901303546,0.005659809144439599
51.580121405614065,0.0056539815242161
52.451955038468,0.0056491092349647
53.338524849963285,0.005645013108626067
54.24007991853962,0.0056415213954636
55.15687353268806,0.005638469977998
56.089163262111526,0.005635701986668
57.03721103008796,0.0056330675277467
58.00128318705668,0.0056304235171993995
58.981650585448605,0.005627633568488599
59.97858865578116,0.0056245677505799
60.992377484039544,0.005621102425412799
62.02330189036564,0.0056171203245832
63.071651509077256,0.005612509915771901
64.13772087003986,0.0056071658192849
65.22180948141357,0.0056009883753435005
66.32422191379878,0.0055938836321277
67.4452678858043,0.0055857632328127
68.58526235106139,0.005576544314349499
69.74452558670897,0.005566149406874001
70.92338328337418,0.0055545064099758
72.12216663667404,0.0055415484056026
73.34121244026352,0.005527213681123701
74.5808631804564,0.0055114455786659
75.84146713244564,0.0054941925560543
77.12337845814979,0.005475407910500999
78.42695730571374,0.005455049880670599
79.75256991069064,0.005433081566460801
