vcirc,r_s,MBH,ML,chi2,reward,status,proposal_id,refine_passes,chi2_losvd,chi2_light,chi2_total,chi2_inner,chi2_outer,N_inner,N_outer,N_nonzero_weights,effective_N_orbits,max_weight_fraction,halo_type,weight_mode,weight_solver_mode,losvd_score_mode,alphat,halo_q_axis_ratio,karl_halo_params_active
21.0,1000.0,450000.0,0.3,,,todo,,,,,,,,,,,,,,,,,,,
15.984990743692771,5387.952348815124,1019106.071052934,14.32856783028868,109.61475774285091,-109.11475774285091,pass_full,1.0,0.0,109.61475774285091,47.448019576114234,123.84916361568519,56.038225251677765,53.57653249117309,32.0,32.0,3162.0,745.7383968311732,0.011805447927143883,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
15.984990743692771,5387.952348815124,0.0,14.32856783028868,102.16741385199632,-101.66741385199632,pass_halo_only,1.0,0.0,102.16741385199632,47.11995311813918,116.30339978743807,51.709272447332154,50.458141404664154,32.0,32.0,1524.0,545.1566360028006,0.016874392123640964,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
15.984990743692771,5387.952348815124,2000000.0,14.32856783028868,110.04486579989285,-109.54486579989285,pass_bh_up,1.0,0.0,110.04486579989285,47.316026352711816,124.2396737057064,56.502040056222214,53.542825743670676,32.0,32.0,3407.0,936.2596246555005,0.01426734880238274,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
15.984990743692771,5387.952348815124,509553.035526467,14.32856783028868,111.0181437593027,-110.5181437593027,pass_bh_down,1.0,0.0,111.0181437593027,47.69334555293608,125.32614742518352,55.94927094637345,55.06887281292925,32.0,32.0,2964.0,350.65140769086327,0.027497635155269925,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
30.0,5387.952348815124,1019106.071052934,14.32856783028868,107.99344055244653,-107.49344055244653,pass_halo_up,1.0,0.0,107.99344055244653,47.47258100228234,122.23521485313123,55.22527256482183,52.76816798762475,32.0,32.0,3111.0,565.9412024339882,0.017579148839595594,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
7.992495371846386,5387.952348815124,1019106.071052934,14.32856783028868,112.09262790203707,-111.59262790203707,pass_halo_down,1.0,0.0,112.09262790203707,47.58753226458208,126.36888758141168,56.89689225418745,55.195735647849595,32.0,32.0,3468.0,351.20655155219816,0.029257363256221126,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
15.984990743692771,5387.952348815124,1019106.071052934,20.0,109.46785120724421,-108.96785120724421,pass_ml_up,1.0,0.0,109.46785120724421,47.34734208894999,123.67205383392921,54.906591228875264,54.561259978368966,32.0,32.0,2914.0,494.4676463337629,0.029978359737990446,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
15.984990743692771,5387.952348815124,1019106.071052934,7.16428391514434,109.89851491432026,-109.39851491432026,pass_ml_down,1.0,0.0,109.89851491432026,47.60762803291234,124.18080332419396,56.14934568733971,53.74916922698059,32.0,32.0,3239.0,286.8100416271654,0.03553806264438698,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
7.709968642709263,7551.6667278339,1767758.3673790873,3.267001834159252,110.31766217970443,-109.81766217970443,pass_full,2.0,0.0,110.31766217970443,47.673281485999574,124.6196466255043,55.48795664670238,54.82970553300205,32.0,32.0,3728.0,171.49281835369058,0.0551605546917722,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
