v0,r_c,MBH,ML,chi2,reward,status,proposal_id,chi2_losvd,delta_chi2_iteration,max_light_relative_residual,max_light_sigma_residual,light_constraint_ok,solver_converged,solver_iterations,solver_failure_reason,julia_status_code,chi2_inner,chi2_outer,N_inner,N_outer,N_nonzero_weights,effective_N_orbits,max_weight_fraction,halo_type,alphat,light_rel_tol,light_sigma_tol,delta_chi2_iter_tol,halo_q_axis_ratio,karl_halo_params_active,coverage_status,coverage_strict,coverage_issue_region,coverage_issue_axis,coverage_issue_shell_bands,coverage_reasons,coverage_fraction,coverage_attempted_fraction,coverage_success_fraction,coverage_shell_min,coverage_lfrac_min,coverage_theta_min,coverage_shell_gap,coverage_lfrac_gap,coverage_theta_gap,coverage_joint_holes,coverage_deadline_hit,successful_base_orbits,planned_base_orbits,phase_volume_valid,phase_volume_convention,phase_volume_normalization,phase_volume_launches_recorded,phase_volume_sos_recorded,phase_volume_valid_base_orbits,phase_volume_invalid_recorded_orbits,phase_volume_nested_groups,phase_volume_duplicate_area_clusters,phase_volume_duplicate_area_orbits,raw_phase_volume_min,raw_phase_volume_max,raw_phase_volume_dynamic_range,normalized_phase_volume_min,normalized_phase_volume_max,wphase_min,wphase_max,wphase_dynamic_range,wphase_pair_max_relative_mismatch
13.320825619743976,27.64513174995341,370858.67274967243,1.433594982833482,,,todo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.320825619743976,27.64513174995341,370858.67274967243,1.433594982833482,63.40133025257529,-63.40133025257529,pass_full,1.0,63.40133025257529,9.920396321660974e-05,0.009983792300195225,11146.493758479708,1.0,1.0,1309.0,none,0.0,30.886611904673302,32.51471834790199,36.0,38.0,441.0,46.394514054527136,0.07403105724317993,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.9970336189848384,1.0,0.9970336189848384,0.9778869778869779,0.9878048780487805,0.9908536585365854,0.02211302211302213,0.012195121951219523,0.009146341463414642,0.0,0.0,3025.0,3034.0,1.0,inverse_phase_volume,geometric_mean,3025.0,3025.0,3025.0,0.0,328.0,0.0,0.0,2.1440067459215073e+43,1.1496338203371933e+54,53620811712.65502,2.121517636028053e-06,113757.49770653716,8.790629366511938e-06,471360.6820974723,53620811712.655,0.0
18.817340221802777,242.97601456714318,259268.31022653444,3.288536761231384,22.128736251706044,-22.128736251706044,pass_full,2.0,22.128736251706044,4.1847756207857856e-05,0.009952574407995,13493.755038384028,1.0,1.0,1291.0,none,0.0,6.483045527229335,15.645690724476712,36.0,38.0,574.0,70.28566688069002,0.040367740702512055,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.9957152274225445,1.0,0.9957152274225445,0.9680589680589681,0.9823848238482384,0.9817073170731707,0.03194103194103193,0.017615176151761558,0.018292682926829285,0.0,0.0,3021.0,3034.0,1.0,inverse_phase_volume,geometric_mean,3021.0,3021.0,3021.0,0.0,328.0,0.0,0.0,2.3016298802139057e+41,4.1499131703449326e+54,18030323667675.246,2.287775123024676e-07,4124932.59469908,2.4242820386570497e-07,4371058.981871856,18030323667675.4,0.0
18.090679229426684,104.90274594299399,1252.5944097273095,0.21705875459895463,85.27815886355279,-85.27815886355279,pass_full,3.0,85.27815886355279,0.00018803351782992195,0.009900562866671686,9462.012247765957,1.0,1.0,1327.0,none,0.0,56.60288867351742,28.675270190035377,36.0,38.0,525.0,55.66059676865663,0.054076823765405395,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.9990112063282794,1.0,0.9990112063282794,0.9926289926289926,0.9959349593495935,0.9939024390243902,0.0073710073710073765,0.004065040650406471,0.0060975609756097615,0.0,0.0,3031.0,3034.0,1.0,inverse_phase_volume,geometric_mean,3031.0,3031.0,3031.0,0.0,328.0,0.0,0.0,1.2495735572827641e+39,4.268205083749847e+54,3415729357326662.0,1.160820148512916e-08,39650474.59851876,2.522037907806928e-08,86145989.21986866,3415729357326673.0,0.0
5.77024038703296,1.0791361400607162,3649.594835077095,4.00528833790022,inf,-1000000.0,physics_exception_full,4.0,inf,inf,inf,inf,0.0,0.0,0.0,exception,3.0,inf,inf,0.0,0.0,0.0,0.0,0.0,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,not_assessed,0.0,none,none,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,not_computed,not_computed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
15.304300641327911,267.62842029855915,28163.621046058284,4.905241297652682,inf,-1000000.0,physics_exception_full,5.0,inf,inf,inf,inf,0.0,0.0,0.0,exception,3.0,inf,inf,0.0,0.0,0.0,0.0,0.0,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.998022412656559,1.0,0.998022412656559,0.9852579852579852,0.991869918699187,0.9878048780487805,0.014742014742014753,0.008130081300813052,0.012195121951219523,0.0,0.0,3028.0,3034.0,1.0,inverse_phase_volume,geometric_mean,3028.0,3028.0,3028.0,0.0,328.0,0.0,0.0,3.0539099857942653e+38,1.6928156080980885e+54,5543109050274835.0,6.565933200888028e-09,36395683.74934247,2.7475785504869546e-08,152301275.29545262,5543109050274839.0,0.0
13.551629497470048,4.50760539329497,107589.14169809424,0.8400170235881779,93.81695872574188,-93.81695872574188,pass_full,6.0,93.81695872574188,0.00010040143578748939,0.009984340465635975,12876.89562128854,1.0,1.0,1294.0,none,0.0,55.356630880085845,38.46032784565604,36.0,38.0,522.0,34.29003111072108,0.09523048352868839,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.998681608437706,1.0,0.998681608437706,0.9901719901719902,0.994579945799458,0.9969512195121951,0.009828009828009798,0.005420054200542035,0.0030487804878048808,0.0,0.0,3030.0,3034.0,1.0,inverse_phase_volume,geometric_mean,3030.0,3030.0,3030.0,0.0,328.0,0.0,0.0,1.3527571451057309e+42,1.2128246950201433e+54,896557596763.1274,9.00550732723467e-08,80739.56006938258,1.2385502214040575e-05,11104316.099724622,896557596763.1283,0.0
21.906463973562662,19.787971165644112,1635415.6220747812,4.172633458415789,180.903532573756,-180.903532573756,pass_full,7.0,180.903532573756,6.918097781749566e-05,0.009916969392448594,44276.90414273473,1.0,1.0,1460.0,none,0.0,115.77753953212957,65.12599304162642,36.0,38.0,323.0,59.166931456936396,0.04153950142445589,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.9970336189848384,1.0,0.9970336189848384,0.9778869778869779,0.9878048780487805,0.9908536585365854,0.02211302211302213,0.012195121951219523,0.009146341463414642,0.0,0.0,3025.0,3034.0,1.0,inverse_phase_volume,geometric_mean,3025.0,3025.0,3025.0,0.0,328.0,0.0,0.0,1.0732570658796245e+44,8.385134407648693e+54,78127921764.72997,7.322317365714691e-07,57207.74382850734,1.7480150991406297e-05,1365687.86909224,78127921764.72893,0.0
24.49926175379099,219.09667054020719,42366.264033103675,4.064877351752146,134.5771637155232,-134.5771637155232,pass_full,8.0,134.5771637155232,0.00042445734771945354,0.009900532228964115,5163.438431475164,1.0,1.0,1391.0,none,0.0,97.81565512422651,36.76150859129669,36.0,38.0,414.0,58.460366067227866,0.04625554941526859,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.996044825313118,1.0,0.996044825313118,0.9705159705159705,0.983739837398374,0.9817073170731707,0.029484029484029506,0.016260162601625994,0.018292682926829285,0.0,0.0,3022.0,3034.0,1.0,inverse_phase_volume,geometric_mean,3022.0,3022.0,3022.0,0.0,328.0,0.0,0.0,8.591971512644118e+40,1.1378794371065919e+55,132435196675415.61,3.0322552710990784e-07,40157732.319806755,2.4901804515161234e-08,3297875.3785380926,132435196675414.1,0.0
18.68078541842375,304.0490742108145,3932645.9209644324,3.093423297240227,171.49707350578655,-1000000.0,solver_failed_full,9.0,171.49707350578655,4.862780318148907e-05,0.015811177839549807,70593.13968625898,0.0,0.0,1500.0,light_constraint_failed,2.0,128.88380990522754,42.61326360055902,36.0,38.0,348.0,59.91318174646249,0.05261990353288337,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.983520105471325,1.0,0.983520105471325,0.9336609336609336,0.9322493224932249,0.9329268292682927,0.06633906633906639,0.0677506775067751,0.06707317073170727,0.0,0.0,2984.0,3034.0,1.0,inverse_phase_volume,geometric_mean,2984.0,2984.0,2984.0,0.0,328.0,0.0,0.0,1.5131059063308303e+45,5.116215735612365e+54,3381267440.8355255,3.5223633838065575e-05,119100.52624456378,8.396268526526716e-06,28390.0293932569,3381267440.8355308,0.0
