rin_deg,rout_deg,rmid_deg,rin_arcmin,rout_arcmin,rmid_arcmin,rin_pc,rout_pc,rmid_pc,count_digitized,count,count_err,area_arcmin2,sigma_arcmin2,sigma_err_arcmin2,area_pc2,sigma_pc2,sigma_err_pc2
0.012569186183536937,0.03756918618353694,0.02506918618353694,0.7541511710122162,2.254151171012216,1.5041511710122164,5.045594713574697,15.081237912542091,10.063416313058395,22.57863844440677,23,4.795831523312719,14.176290806221388,1.6224272141698906,0.33829945991288685,634.5568256853272,0.03624576880905786,0.007557765245268896
0.0375887372829532,0.0625887372829532,0.0500887372829532,2.255324236977192,3.7553242369771915,3.005324236977192,15.089086226857658,25.124729425825052,20.106907826341356,12.579936722285067,13,3.605551275463989,28.32451363362868,0.4589663980872585,0.12729437553989445,1267.857277063501,0.01025352004139571,0.0028438147894807595
0.06296166618837665,0.08796166618837664,0.07546166618837664,3.777699971302599,5.2776999713025985,4.5276999713025985,25.274432683161503,35.31007588212889,30.292254282645196,9.565493820902448,10,3.1622776601683795,42.67256690250887,0.23434259351789932,0.07410563483075723,1910.1025061941652,0.005235321124165617,0.0016555539034756538
0.08801825379040588,0.11301825379040589,0.10051825379040588,5.281095227424353,6.781095227424354,6.031095227424353,35.332791601466916,45.36843480043432,40.35061320095062,4.562091454239851,5,2.23606797749979,56.84173337873045,0.08796353845660422,0.0393384903060768,2544.340433777615,0.001965145832539569,0.0008788399334517791
0.11361279699791112,0.13861279699791113,0.12611279699791111,6.816767819874667,8.316767819874668,7.566767819874666,45.607099740310005,55.642742939277404,50.624921339793694,4.143461845447288,4,2.0,71.31510658301377,0.05608909797174365,0.028044548985871824,3192.1952134946414,0.0012530561987846031,0.0006265280993923016
0.13905514650723774,0.16405514650723774,0.15155514650723773,8.343308790434264,9.843308790434264,9.093308790434264,55.820313413071005,65.8559566120384,60.83813501255471,3.573178090491706,4,2.0,85.70241627855532,0.046673129810003856,0.023336564905001928,3836.1976324170832,0.0010426991472490194,0.0005213495736245097
0.16485042429821573,0.18985042429821572,0.17735042429821574,9.891025457892944,11.391025457892944,10.641025457892944,66.17520157821113,76.21084477717852,71.19302317769483,3.3676828844487443,3,1.7320508075688772,100.28930221553529,0.02991345969834942,0.01727054400923506,4489.133450631381,0.0006682804227123301,0.00038583188194712064
0.18729117790812688,0.21229117790812688,0.1997911779081269,11.237470674487612,12.737470674487612,11.987470674487614,75.18349743201144,85.21914063097884,80.20131903149515,3.0586553731427264,3,1.7320508075688772,112.97924941828008,0.026553548686566147,0.015330698482128797,5057.1588054409995,0.0005932184681984474,0.00034249484230263106
0.21506191587688916,0.24006191587688916,0.22756191587688918,12.903714952613349,14.403714952613349,13.65371495261335,86.33138613707203,96.36702933603942,91.34920773655574,2.3604258041616304,2,1.4142135623730951,128.68323176801755,0.015542040501481037,0.010989882232073213,5760.097911775815,0.0003472163200405404,0.0002455190144393047
0.23792682981781343,0.26292682981781346,0.25042682981781345,14.275609789068806,15.775609789068808,15.025609789068806,95.50995086052049,105.5455940594879,100.52777246000419,2.241208779755002,2,1.4142135623730951,141.6130359871365,0.014122993593482956,0.009986464540605965,6338.859707380077,0.00031551416064177617,0.00022310220255018163
0.2646261719898845,0.2896261719898845,0.2771261719898845,15.877570319393069,17.37757031939307,16.62757031939307,106.22775372796242,116.26339692692981,111.24557532744612,3.081385117712285,3,1.7320508075688772,156.7111582873588,0.019143499625591094,0.011052504662066517,7014.679404619453,0.00042767457027677953,0.00024691802827485614
0.28966349365332233,0.31466349365332236,0.30216349365332235,17.37980961919934,18.879809619199342,18.129809619199342,116.27837880284397,126.3140220018114,121.2962004023277,2.7779850456989377,3,1.7320508075688772,170.86943013197504,0.017557265788753898,0.010136692129370871,7648.429668473156,0.0003922373781334496,0.00022645835585158016
0.31538807296918114,0.34038807296918117,0.32788807296918115,18.923284378150868,20.42328437815087,19.673284378150868,126.60488678114382,136.64052998011124,131.6227083806275,2.7779850456989377,3,1.7320508075688772,185.4163370231452,0.016179804046207186,0.009341414221513114,8299.575951134766,0.00036146425042231497,0.00020869148228374983
0.3379623803396728,0.3629623803396728,0.3504623803396728,20.277742820380368,21.777742820380368,21.027742820380368,135.66679455050678,145.70243774947417,140.6846161499905,3.22135498219534,3,1.7320508075688772,198.18180709824748,0.01513761552548952,0.008739706398530432,8870.981848485777,0.0003381812804083329,0.0001952490532786433
0.3640834382302378,0.38908343823023783,0.3765834382302378,21.84500629381427,23.34500629381427,22.59500629381427,146.1524592292781,156.1881024282455,151.17028082876178,2.8614860951082934,3,1.7320508075688772,212.95291734138593,0.014087621045316249,0.008133491802754774,9532.163885159343,0.00031472392167645265,0.00018170594090031463
0.38807400232069394,0.41307400232069397,0.40057400232069396,23.284440139241635,24.78444013924164,24.03444013924164,155.78288888342917,165.8185320823966,160.8007104829129,2.7779850456989377,3,1.7320508075688772,226.51926172375633,0.013243906841169849,0.007646373179871738,10139.418388125141,0.00029587495901278456,0.00017082348723250064
0.413645377579535,0.43864537757953503,0.426145377579535,24.818722654772102,26.318722654772102,25.568722654772102,166.04789681161446,176.08354001058186,171.06571841109815,2.677026887172629,3,1.7320508075688772,240.97953376172066,0.012449189992069554,0.007187543193114152,10786.686735564115,0.0002781206197551734,0.0001605730146828349
