v0,r_c,MBH,ML,chi2,reward,status,proposal_id,chi2_losvd,delta_chi2_iteration,max_light_relative_residual,max_light_sigma_residual,light_constraint_ok,solver_converged,solver_iterations,solver_failure_reason,julia_status_code,chi2_inner,chi2_outer,N_inner,N_outer,N_nonzero_weights,effective_N_orbits,max_weight_fraction,halo_type,alphat,light_rel_tol,light_sigma_tol,delta_chi2_iter_tol,halo_q_axis_ratio,karl_halo_params_active,coverage_status,coverage_strict,coverage_issue_region,coverage_issue_axis,coverage_issue_shell_bands,coverage_reasons,coverage_fraction,coverage_attempted_fraction,coverage_success_fraction,coverage_shell_min,coverage_lfrac_min,coverage_theta_min,coverage_shell_gap,coverage_lfrac_gap,coverage_theta_gap,coverage_joint_holes,coverage_deadline_hit,successful_base_orbits,planned_base_orbits,phase_volume_valid,phase_volume_convention,phase_volume_normalization,phase_volume_launches_recorded,phase_volume_sos_recorded,phase_volume_valid_base_orbits,phase_volume_invalid_recorded_orbits,phase_volume_nested_groups,phase_volume_duplicate_area_clusters,phase_volume_duplicate_area_orbits,raw_phase_volume_min,raw_phase_volume_max,raw_phase_volume_dynamic_range,normalized_phase_volume_min,normalized_phase_volume_max,wphase_min,wphase_max,wphase_dynamic_range,wphase_pair_max_relative_mismatch
100.0,1800.0,900000.0,1.0,,,todo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,1800.0,900000.0,1.0,221.16073353500224,-221.16073353500224,pass_full,1.0,221.16073353500224,0.1701768583392606,0.0089911659207187,0.1114015071159869,1.0,1.0,46.0,none,0.0,5.865828974086757,215.29490456091548,20.0,543.0,451.0,131.26050573134577,0.0223944326187708,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.9895895895895896,1.0,0.9895895895895896,0.9475357710651828,0.965432098765432,0.9648148148148148,0.0524642289348171,0.0345679012345678,0.0333333333333333,0.0,0.0,4943.0,4995.0,1.0,inverse_phase_volume,geometric_mean,4943.0,4943.0,4943.0,0.0,540.0,0.0,0.0,5.515462342915721e+43,1.95094273516544e+56,3537224286684.3403,5.738527870553753e-07,2029846.0153537493,4.926482070245736e-07,1742607.202678799,3537224286684.3047,0.0
100.0,1800.0,900000.0,1.0,226.46816298650447,-226.46816298650447,pass_full,2.0,226.46816298650447,0.1885489912435787,0.0074447977885566,0.0554343019102362,1.0,1.0,43.0,none,0.0,5.659329812061526,220.80883317444287,20.0,543.0,471.0,126.83231869862134,0.0221037984108753,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.9921921921921922,1.0,0.9921921921921922,0.9491255961844196,0.9679012345679012,0.9703703703703704,0.0508744038155802,0.0320987654320987,0.0296296296296296,0.0,0.0,4956.0,4995.0,1.0,inverse_phase_volume,geometric_mean,4956.0,4956.0,4956.0,0.0,540.0,0.0,0.0,5.515462342915721e+43,1.95094273516544e+56,3537224286684.3403,5.704445502510398e-07,2017790.317354683,4.955916337783784e-07,1753018.7632784334,3537224286684.304,0.0
100.0,1800.0,900000.0,1.0,226.21472113839485,-226.21472113839485,pass_full,3.0,226.21472113839485,0.2790194756236133,0.006349547762837,0.1238161813753229,1.0,1.0,41.0,none,0.0,6.464808663237242,219.7499124751576,20.0,543.0,471.0,122.68370989515454,0.0222343691085736,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.9917917917917918,1.0,0.9917917917917918,0.9475357710651828,0.9662551440329218,0.9685185185185186,0.0524642289348171,0.0337448559670782,0.0314814814814814,0.0,0.0,4954.0,4995.0,1.0,inverse_phase_volume,geometric_mean,4954.0,4954.0,4954.0,0.0,540.0,0.0,0.0,5.515462342915721e+43,1.95094273516544e+56,3537224286684.3403,5.697202028372682e-07,2015228.1380906927,4.962217334596368e-07,1755247.5671740128,3537224286684.3047,0.0
100.0,1800.0,900000.0,1.0,226.46816298650447,-226.46816298650447,pass_full,4.0,226.46816298650447,0.1885489912435787,0.007444797788556616,0.05543430191023623,1.0,1.0,43.0,none,0.0,5.659329812061526,220.80883317444292,20.0,543.0,471.0,126.83231869862134,0.022103798410875383,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.9921921921921922,1.0,0.9921921921921922,0.9491255961844197,0.9679012345679012,0.9703703703703703,0.05087440381558028,0.032098765432098775,0.029629629629629672,0.0,0.0,4956.0,4995.0,1.0,inverse_phase_volume,geometric_mean,4956.0,4956.0,4956.0,0.0,540.0,0.0,0.0,5.515462342915721e+43,1.95094273516544e+56,3537224286684.3403,5.704445502510398e-07,2017790.317354683,4.955916337783784e-07,1753018.7632784334,3537224286684.304,0.0
