vcirc,r_s,MBH,ML,chi2,reward,status,proposal_id,refine_passes,chi2_losvd,chi2_light,chi2_total,chi2_inner,chi2_outer,N_inner,N_outer,N_nonzero_weights,effective_N_orbits,max_weight_fraction,halo_type,weight_mode,weight_solver_mode,losvd_score_mode,alphat,halo_q_axis_ratio,karl_halo_params_active
183.9114355853,1800.0,900000.0,1.0,,,todo,,,,,,,,,,,,,,,,,,,
133.20825619743977,5387.952348815124,509553.035526467,1.4844152572989708,1254.2742768491185,-1253.7742768491185,pass_full,1.0,0.0,1254.2742768491185,145.74445716133158,1297.9976139975179,19.50268650204724,1234.7715903470712,20.0,543.0,3631.0,53.90845834304969,0.07360574315152374,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
133.20825619743977,5387.952348815124,0.0,1.4844152572989708,2471.354308460714,-2470.854308460714,pass_halo_only,1.0,0.0,2471.354308460714,222.71666573359684,2538.169308180793,122.21776116872753,2349.136547291987,20.0,543.0,2492.0,23.412059926429695,0.09597863555434992,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
133.20825619743977,5387.952348815124,1000000.0,1.4844152572989708,1185.2998299139226,-1184.7998299139226,pass_bh_up,1.0,0.0,1185.2998299139226,166.24161767346928,1235.1723152159634,35.643539240648266,1149.6562906732754,20.0,543.0,2137.0,45.60537183704207,0.0881335305156448,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
133.20825619743977,5387.952348815124,254776.5177632335,1.4844152572989708,1109.7721701504818,-1109.2721701504818,pass_bh_down,1.0,0.0,1109.7721701504818,312.6868209309895,1203.5782164297786,29.63922677543733,1080.1329433750443,20.0,543.0,2618.0,200.57902354389554,0.03130982416819648,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
250.0,5387.952348815124,509553.035526467,1.4844152572989708,1159.287879128667,-1158.787879128667,pass_halo_up,1.0,0.0,1159.287879128667,122.92013680250976,1196.16392016942,78.78980666173385,1080.498072466932,20.0,543.0,2610.0,21.604442602545802,0.16451565102190008,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
66.60412809871988,5387.952348815124,509553.035526467,1.4844152572989708,2002.290922393763,-2001.790922393763,pass_halo_down,1.0,0.0,2002.290922393763,178.57662649820594,2055.8639103432247,38.54819064207474,1963.7427317516879,20.0,543.0,2423.0,40.6461252790305,0.07666298159892371,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
133.20825619743977,5387.952348815124,509553.035526467,2.0,1185.9488489472526,-1185.4488489472526,pass_ml_up,1.0,0.0,1185.9488489472526,275.1185387384255,1268.4844105687803,25.918461864706426,1160.030387082546,20.0,543.0,2298.0,168.23084902353847,0.03340953770045573,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
133.20825619743977,5387.952348815124,509553.035526467,0.7422076286494854,1108.3856728786902,-1107.8856728786902,pass_ml_down,1.0,0.0,1108.3856728786902,330.2069187894669,1207.4477485155303,37.14560810773597,1071.240064770954,20.0,543.0,2387.0,288.37866731897464,0.02552995915343719,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
64.24973868924386,7551.6667278339,883879.1836895436,0.478818348559932,997.3322160426811,-996.8322160426811,pass_full,2.0,0.0,997.3322160426811,352.50084975971265,1103.0824709705948,34.09441236728793,963.2378036753931,20.0,543.0,2084.0,243.43253230559364,0.023436248333134267,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
