v0,r_c,MBH,ML,chi2,reward,status,proposal_id,chi2_losvd,delta_chi2_iteration,max_light_relative_residual,light_constraint_ok,solver_converged,solver_iterations,solver_failure_reason,julia_status_code,chi2_inner,chi2_outer,N_inner,N_outer,N_nonzero_weights,effective_N_orbits,max_weight_fraction,halo_type,alphat,light_rel_tol,delta_chi2_iter_tol,halo_q_axis_ratio,karl_halo_params_active,coverage_status,coverage_strict,coverage_issue_region,coverage_issue_axis,coverage_issue_shell_bands,coverage_reasons,coverage_fraction,coverage_attempted_fraction,coverage_success_fraction,coverage_shell_min,coverage_lfrac_min,coverage_theta_min,coverage_shell_gap,coverage_lfrac_gap,coverage_theta_gap,coverage_joint_holes,coverage_deadline_hit,successful_base_orbits,planned_base_orbits
100.0,1800.0,900000.0,1.0,,,todo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,1800.0,900000.0,1.0,inf,-1000000.0,solver_failed_full,1.0,inf,inf,13.545911769606326,0.0,0.0,1.0,nonpositive_orbit_weight,2.0,inf,inf,0.0,0.0,0.0,0.0,0.0,nonsingular_isothermal,1.0,0.01,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.85,0.85,1.0,0.821917808219178,0.846,0.8468468468468469,0.0684931506849315,0.005,0.0056711387646639,0.0,0.0,4250.0,5000.0
100.0,1800.0,900000.0,1.0,197.60970844608408,-197.60970844608408,pass_full,1.0,197.60970844608408,0.1898473979950949,8.301946883000843e-08,1.0,1.0,3.0,none,0.0,3.907679446968196,193.70202899911595,20.0,543.0,8500.0,65.0625780196276,0.0559019223896506,nonsingular_isothermal,1.0,0.01,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.85,0.85,1.0,0.821917808219178,0.846,0.8468468468468469,0.0684931506849315,0.005,0.0056711387646639,0.0,0.0,4250.0,5000.0
100.0,1800.0,0.0,1.0,204.41265144227867,-204.41265144227867,pass_full,1.0,204.41265144227867,0.0338918200287139,2.2009239099919096e-08,1.0,1.0,3.0,none,0.0,1.981252785863194,202.43139865641547,20.0,543.0,8500.0,37.00187344035813,0.0923341462960681,nonsingular_isothermal,1.0,0.01,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.85,0.85,1.0,0.821917808219178,0.846,0.8468468468468469,0.0684931506849315,0.005,0.0056711387646639,0.0,0.0,4250.0,5000.0
100.0,1800.0,3000000.0,1.0,192.69676791045788,-192.69676791045788,pass_full,1.0,192.69676791045788,0.2916502827706893,1.4173675881308388e-07,1.0,1.0,3.0,none,0.0,7.704200575345149,184.9925673351128,20.0,543.0,8500.0,61.53659165772381,0.0761666288665086,nonsingular_isothermal,1.0,0.01,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.85,0.85,1.0,0.821917808219178,0.846,0.8468468468468469,0.0684931506849315,0.005,0.0056711387646639,0.0,0.0,4250.0,5000.0
100.0,300.0,900000.0,1.0,407.6533548441241,-407.6533548441241,pass_full,1.0,407.6533548441241,0.0647816379692471,5.336665259332096e-07,1.0,1.0,3.0,none,0.0,7.10916170867121,400.5441931354529,20.0,543.0,8558.0,26.303177910764635,0.1061366052785235,nonsingular_isothermal,1.0,0.01,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.8558,0.8558,1.0,0.821917808219178,0.851,0.8540540540540541,0.0739155251141553,0.008,0.003859615010694,0.0,0.0,4279.0,5000.0
100.0,20000.0,900000.0,1.0,595.806878810131,-595.806878810131,pass_full,1.0,595.806878810131,0.0303309694839981,2.138669456500346e-06,1.0,1.0,3.0,none,0.0,18.04986516197989,577.7570136481512,20.0,543.0,8500.0,21.829242961179204,0.1066290402141339,nonsingular_isothermal,1.0,0.01,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.85,0.85,1.0,0.821917808219178,0.846,0.8468468468468469,0.0684931506849315,0.005,0.0056711387646639,0.0,0.0,4250.0,5000.0
100.0,1800.0,900000.0,1.0,196.60867452099978,-196.60867452099978,pass_full,1.0,196.60867452099978,0.20847435959535687,8.459477432965203e-08,1.0,1.0,3.0,none,0.0,3.4106452734683046,193.1980292475315,20.0,543.0,8536.0,63.32850841228958,0.056902210445061566,nonsingular_isothermal,1.0,0.01,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.8536,0.8536,1.0,0.821917808219178,0.851,0.8504504504504504,0.07391552511415533,0.007000000000000006,0.007463218614297773,0.0,0.0,4268.0,5000.0
100.0,1800.0,0.0,1.0,204.2268962755444,-204.2268962755444,pass_halo_only,1.0,204.2268962755444,0.0162196582176648,1.5827428150442e-08,1.0,1.0,3.0,none,0.0,1.7151453476138445,202.51175092793056,20.0,543.0,8502.0,37.35088641919796,0.09217353950177852,nonsingular_isothermal,1.0,0.01,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.8502,0.8502,1.0,0.821917808219178,0.847,0.8468468468468469,0.06849315068493156,0.0040000000000000036,0.005671138764663963,0.0,0.0,4251.0,5000.0
100.0,1800.0,1800000.0,1.0,191.30033053840793,-191.30033053840793,pass_bh_up,1.0,191.30033053840793,0.21561944917885967,8.264318686692757e-08,1.0,1.0,3.0,none,0.0,4.371845341541821,186.92848519686612,20.0,543.0,8544.0,68.12289290219425,0.05447687693088082,nonsingular_isothermal,1.0,0.01,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.8544,0.8544,1.0,0.821917808219178,0.851,0.8522522522522522,0.07391552511415533,0.008000000000000007,0.00566141681249599,0.0,0.0,4272.0,5000.0
