v0,r_c,MBH,ML,chi2,reward,status,proposal_id,chi2_losvd,delta_chi2_iteration,max_light_relative_residual,max_light_sigma_residual,light_constraint_ok,solver_converged,solver_iterations,solver_failure_reason,julia_status_code,chi2_inner,chi2_outer,N_inner,N_outer,N_nonzero_weights,effective_N_orbits,max_weight_fraction,halo_type,alphat,light_rel_tol,light_sigma_tol,delta_chi2_iter_tol,halo_q_axis_ratio,karl_halo_params_active,coverage_status,coverage_strict,coverage_issue_region,coverage_issue_axis,coverage_issue_shell_bands,coverage_reasons,coverage_fraction,coverage_attempted_fraction,coverage_success_fraction,coverage_shell_min,coverage_lfrac_min,coverage_theta_min,coverage_shell_gap,coverage_lfrac_gap,coverage_theta_gap,coverage_joint_holes,coverage_deadline_hit,successful_base_orbits,planned_base_orbits,phase_volume_valid,phase_volume_convention,phase_volume_normalization,phase_volume_launches_recorded,phase_volume_sos_recorded,phase_volume_valid_base_orbits,phase_volume_invalid_recorded_orbits,phase_volume_nested_groups,phase_volume_duplicate_area_clusters,phase_volume_duplicate_area_orbits,raw_phase_volume_min,raw_phase_volume_max,raw_phase_volume_dynamic_range,normalized_phase_volume_min,normalized_phase_volume_max,wphase_min,wphase_max,wphase_dynamic_range,wphase_pair_max_relative_mismatch,losvd_fit_statistic,losvd_conditioning
125.0,2500.0,900000.0,0.1,,,todo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106.56660495795181,136.9450703847639,608738.1411240526,5.140722096184752,108.97277337484896,-108.97277337484896,pass_full,1.0,108.97277337484896,0.0001524075149887949,0.009931772131096002,0.03931210001591466,1.0,1.0,897.0,none,0.0,3.588092845250709,105.38468052959824,20.0,543.0,2970.0,99.24150116042266,0.03860220570210028,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.9971971971971972,1.0,0.9971971971971972,0.9777424483306836,0.988477366255144,0.9833333333333333,0.022257551669316422,0.011522633744855959,0.01666666666666672,0.0,0.0,4981.0,4995.0,1.0,inverse_phase_volume,geometric_mean,4981.0,4981.0,4981.0,0.0,540.0,0.0,0.0,7.095372968883944e+44,1.9782325451630546e+57,2788059984779.3735,6.767335170994338e-08,188677.36393839525,5.300052847497426e-06,14776865.261323653,2788059984779.393,0.0,legacy_chi2,none
150.5387217744222,3431.7586320748433,413228.03522281465,12.869259726638841,59.85394870439661,-59.85394870439661,pass_full,2.0,59.85394870439661,2.3081910377698023e-05,0.00995049517802736,0.039386209881088034,1.0,1.0,898.0,none,0.0,0.7341841957630675,59.11976450863354,20.0,543.0,2653.0,87.66483001655172,0.043004406438731865,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.9921921921921922,1.0,0.9921921921921922,0.9379968203497615,0.9679012345679012,0.9777777777777777,0.062003179650238494,0.032098765432098775,0.022222222222222254,0.0,0.0,4956.0,4995.0,1.0,inverse_phase_volume,geometric_mean,4956.0,4956.0,4956.0,0.0,540.0,0.0,0.0,1.3507925747258123e+42,1.7171972373504845e+56,127125161144674.34,3.243626605011099e-08,4123465.5485518817,2.4251445494705047e-07,30829689.165056597,127125161144674.1,0.0,legacy_chi2,none
144.72543383541347,988.3273192716629,1410.7439751334823,0.07207459025510284,80.11776619354357,-80.11776619354357,pass_full,3.0,80.11776619354357,2.1234205917153304e-05,0.009942211505026938,0.03935342131352997,1.0,1.0,897.0,none,0.0,1.0693329393820084,79.04843325416157,20.0,543.0,4991.0,112.02698310345073,0.03075511217775903,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.9997997997997998,1.0,0.9997997997997998,0.9984101748807631,0.9991769547325103,0.9981481481481481,0.0015898251192368873,0.0008230452674896638,0.0018518518518518823,0.0,0.0,4994.0,4995.0,1.0,inverse_phase_volume,geometric_mean,4994.0,4994.0,4994.0,0.0,540.0,0.0,0.0,3.7713647703628745e+37,2.8619662712646516e+57,7.588675308618524e+19,1.0245904038051154e-11,777528389.8803259,1.286126671405421e-09,97599977150.49919,7.588675308618423e+19,0.0,legacy_chi2,none
46.16192309626368,1.1194908112834212,4286.647284119604,15.85557530618052,91.9662341225435,-91.9662341225435,pass_full,4.0,91.9662341225435,0.00018366982723705405,0.009981155498333808,0.03950757005352225,1.0,1.0,898.0,none,0.0,3.6342463732901003,88.3319877492534,20.0,543.0,2361.0,122.7747539327574,0.03304696248570769,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4995.0,4995.0,1.0,inverse_phase_volume,geometric_mean,4995.0,4995.0,4995.0,0.0,540.0,0.0,0.0,1.2416474584193596e+43,8.023345239090497e+55,6461854518112.867,1.3681219144268749e-09,8840.604774068614,0.00011311443340767977,730929012.5791997,6461854518112.93,0.0,legacy_chi2,none
122.43440513062329,3960.194368203009,37657.59755810991,19.605191814949166,72.65412094392941,-72.65412094392941,pass_full,5.0,72.65412094392941,1.682772553124323e-05,0.00998650333791046,0.03952873795805442,1.0,1.0,897.0,none,0.0,1.892469768251811,70.7616511756776,20.0,543.0,2134.0,88.34428083472054,0.03767296984147883,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.9907907907907908,1.0,0.9907907907907908,0.9268680445151033,0.9621399176954732,0.975925925925926,0.0731319554848967,0.037860082304526754,0.024074074074074026,0.0,0.0,4949.0,4995.0,1.0,inverse_phase_volume,geometric_mean,4949.0,4949.0,4949.0,0.0,540.0,0.0,0.0,1.9685094527814387e+40,3.1704321097725507e+55,1610574998912418.2,3.649800398112694e-09,5878277.272220883,1.701178684996239e-07,273987585.87376404,1610574998912414.5,0.0,legacy_chi2,none
108.41303597976038,9.314905380915626,159651.42035636824,2.66760426140416,119.98703807414988,-119.98703807414988,pass_full,6.0,119.98703807414988,0.000185829051972064,0.009968804343861796,0.03945868151545404,1.0,1.0,898.0,none,0.0,4.828598442583025,115.15843963156686,20.0,543.0,2921.0,116.94904422528182,0.03204847839752433,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4995.0,4995.0,1.0,inverse_phase_volume,geometric_mean,4995.0,4995.0,4995.0,0.0,540.0,0.0,0.0,5.007442859008614e+43,1.5383002467265006e+57,30720275598532.883,4.2870835651857883e-10,13170.038863644939,7.592992020398945e-05,2332588074.8411846,30720275598533.13,0.0,legacy_chi2,none
175.2517117885013,83.43099444285643,3035878.3691070955,16.552811778095286,134.09681044133794,-134.09681044133794,pass_full,7.0,134.09681044133794,0.00015131363610976223,0.009950235494825403,0.03938518199886591,1.0,1.0,897.0,none,0.0,4.45165162466511,129.64515881667282,20.0,543.0,3242.0,106.36958895060532,0.031836404861401636,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.9977977977977978,1.0,0.9977977977977978,0.9825119236883942,0.9909465020576131,0.9851851851851852,0.01748807631160576,0.009053497942386857,0.014814814814814836,0.0,0.0,4984.0,4995.0,1.0,inverse_phase_volume,geometric_mean,4984.0,4984.0,4984.0,0.0,540.0,0.0,0.0,1.2803732288766517e+46,1.4715849599649027e+58,1149340619419.2397,6.69216678497669e-08,76915.79117901862,1.30012314073782e-05,14942843.358968724,1149340619419.2234,0.0,legacy_chi2,none
195.99409403032791,2943.9598829317947,58421.370856632195,16.103850449518994,69.58006917124162,-69.58006917124162,pass_full,8.0,69.58006917124162,2.1945357303820856e-05,0.00997113050097195,0.03946788894790014,1.0,1.0,897.0,none,0.0,1.4373392175838071,68.1427299536578,20.0,543.0,2897.0,82.56729600267917,0.03982799162165156,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.9935935935935936,1.0,0.9935935935935936,0.9491255961844197,0.9736625514403292,0.9814814814814815,0.05087440381558028,0.026337448559670795,0.01851851851851849,0.0,0.0,4963.0,4995.0,1.0,inverse_phase_volume,geometric_mean,4963.0,4963.0,4963.0,0.0,540.0,0.0,0.0,5.920845854264646e+40,9.982857330183103e+56,1.686052563417554e+16,2.2278871670634967e-09,37563348.690325014,2.6621694680207373e-08,448855765.58083344,1.686052563417563e+16,0.0,legacy_chi2,none
149.44628334739,4784.525503899127,7854157.846231964,12.056327608647353,56.87283284047048,-56.87283284047048,pass_full,9.0,56.87283284047048,7.226231527823757e-05,0.009910176504290548,0.03922661985893197,1.0,1.0,897.0,none,0.0,1.7921377430423677,55.080695097428105,20.0,543.0,1985.0,120.13983566372532,0.02465944290387328,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,severe_coverage_warn,0.0,inner,joint,1,1 planned shell-band/Lfrac/third-integral cells have no successful orbit,0.9861861861861861,1.0,0.9861861861861861,0.9014308426073132,0.9432098765432099,0.9611111111111111,0.09856915739268679,0.05679012345679013,0.03888888888888886,1.0,0.0,4926.0,4995.0,1.0,inverse_phase_volume,geometric_mean,4926.0,4926.0,4926.0,0.0,540.0,0.0,0.0,1.6684835645520868e+44,2.4312242646798282e+55,145714606744.26862,2.525724624666662e-07,36803.49704276185,2.717133099710888e-05,3959259.8109620805,145714606744.26877,0.0,legacy_chi2,none
