bin_id,R_inner_pc,R_outer_pc,R_mid_pc,R_median_pc,N_vlos,mean_vlos_rel_kms,sigma_los_kms,sigma_los_lo68_kms,sigma_los_hi68_kms
0,0.0,15.592586160839428,7.796293080419714,9.18884728553007,16,2.2238482717178525,5.45812340435137,3.8677535581705302,7.4322257832972065
1,15.592586160839428,24.17345478139871,19.883020471119067,19.7332532955117,15,-0.8184629572367447,3.801838226180912,2.6818175426827033,5.20600721264787
2,24.17345478139871,44.58072125170361,34.377088016551156,33.91122201152509,15,-1.8234762597162493,3.897195094980077e-07,0.0,3.2479634475081265
3,44.58072125170361,93.64954596861801,69.11513361016081,54.49471952110272,15,-0.06639517597401275,3.7895907748743145,2.3795666275574625,5.54400538810713
